Document Title,Author Keywords,Abstract,Publication Year,Authors,Start Page,End Page,Pages count,Article Citation Count,DOI,Link,Document Identifier,Publisher
An Analysis of Multi-language Simultaneous Display in the Translation System,machine-translate;rewrite;language-grid,"It is assumed that Japanese can analogize the meaning of original text if they read the original text according to the commonality of written expressions, such as the commonality of Kanji and Chinese characters in case of Chinese-Japanese translations. In this study, participants rewrote translated sentences while viewing simultaneously the original sentences written in Chinese and the translated sentences into Japanese by Language Grid as a machine translation service. We analyzed how chat between a Japanese rewrite worker and Chinese participant was affected when the original sentences and machine-translated text were simultaneously displayed during the rewriting work. Additionally, we analyzed and evaluated the effect of the simultaneous display on the rewritten translated text. We found that the simultaneous display affects the rewriting work such that it is possible to analogize the meaning of the original text. Furthermore, the simultaneous display improved the translation quality of the rewritten translated text.",2017,K. Bantupalli; Y. Xie,666,671,6,,10.1109/COMPSAC.2017.50,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8030009,IEEE Conferences,IEEE
Semantic based orthographic with prepositional phrase for English-Tamil translation,Rule-Based Machine Translation;POS Tagging;Word Reordering;PENN Tree;Prepositions;Orthographic,"Machine translation quality has improved substantially in recent years. Many researchers have contributed and developed quite good algorithms, frameworks and models for various languages. Processing of natural language involves various levels, complexities, ambiguities arise at each of those levels. Some pragmatic and semantic approaches can be used to tackle these issues. Generally, prepositions are plays sound role in meaningful translation for any languages. While translating from English to Tamil, preposition in English sentences should be translated to postposition to have meaningful sentences. Thus the prepositional phase errors and orthographic errors are the major issue in machine translation. The main goal of this paper is to improve the translation quality. To achieve the goal, we use some semantic rule to correct the prepositional and orthographic errors in this English-Tamil translation. The proposed approach takes as input an English sentence containing a preposition and the correct postposition and correct spelling in Tamil for that particular sentence context as output. The rules are evaluated with corpus data and the performance is good. The outcomes of the results are compared with Google Translate.",2012,K. Bhattacharjee; S. K. S; S. Mehta; A. Kumar; R. Mehta; D. Pandya; P. Chaudhari; D. Verma,1,6,6,2,10.1109/IHCI.2012.6481845,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6481845,IEEE Conferences,IEEE
Web-based English-Sinhala translator in action,machine translation;morphological analysis;natural language processing;sinhala language,"Machine translation has been a potential solution for addressing the language barrier. In line with this, we have developed English to Sinhala machine translation system that can be accessed through the Internet. The translation system runs on a Web sever and can be accessed by an ordinary Web client. The core of the translation system contains seven modules, namely, English Morphological analyzer, English parser, Translator, Sinhala Morphological generator, Sinhala parser, Transliteration module and three Lexicon Databases. This core system has already been tested and used on standalone machines. The current project has extended the core system with the use of Prolog Server Pages to provide online access thereby opening the service to a wider audience.",2008,K. Chen; R. Wang; M. Utiyama; E. Sumita; T. Zhao,80,85,6,2,10.1109/ICIAFS.2008.4783963,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4783963,IEEE Conferences,IEEE
Intent transfer in speech-to-speech machine translation,Speech Translation;Prominence;Focus;Speech Synthesis;Cross-lingual Transfer,"This paper presents an approach for transfer of speaker intent in speech-to-speech machine translation (S2SMT). Specifically, we describe techniques to retain the prominence patterns of the source language utterance through the translation pipeline and impose this information during speech synthesis in the target language. We first present an analysis of word focus across languages to motivate the problem of transfer. We then propose an approach for training an appropriate transfer function for intonation on a parallel speech corpus in the two languages within which the translation is carried out. We present our analysis and experiments on English↔Portuguese and English↔German language pairs and evaluate the proposed transformation techniques through objective measures.",2012,K. Chen; T. Zhao; M. Yang; L. Liu; A. Tamura; R. Wang; M. Utiyama; E. Sumita,153,158,6,7,10.1109/SLT.2012.6424214,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6424214,IEEE Conferences,IEEE
Intelligent Data Mining for Translator Correctness Prediction,Machine Learning;Predictive Analytics;Translation Accuracy;Yandex;Google;Live Translation;Multilingual Chatter,"This paper presents a new approach to predictive data analytics, called Radius of Neighbors (RN), and its mobile application, a multilingual RN-Chatter, devoted to improve communication among people, speaking different languages. RN is a modeless method of unsupervised machine learning, what makes it a fairly simple but effective way of analyzing big amounts of data while keeping acceptable speed of execution and taking up little run-time space. In the first preparatory stage of our research, we discovered that RN gives better results than well-known K-Nearest Neighbors (KNN) in some cases. We then extended our research to simulating the adjustments of floating radiuses, various volumes of the training data sets and ups and downs of the dimensions to tune RN for its optimum accuracy. We took experimental approach of not only extending the number of dimensions, but, instead, shrinking and modifying them in order to keep the predicted value' neighbors close by.",2016,K. Cui; F. Han; P. Wang,394,399,6,5,10.1109/BigDataSecurity-HPSC-IDS.2016.19,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7502322,IEEE Conferences,IEEE
Text to speech synthesis system for English to Malayalam translation,Machine Translation System;Text to Speech synthesis;Speech recognition;Articulatory synthesis;Formant synthesis;Concatenation,"Speech recognition and Speech synthesis are the two emerging technologies in the communication field. Speech recognition is a system which generates text for the given speech, while a speech synthesizer is a system that should be able to read any text aloud. Research is conducting all over the world, to develop an efficient text to speech synthesis (TTS) system for minority languages. India has the largest democracy system in the world, also known as land of unity in diversity and has more than 22 official languages. It becomes difficult to understand the English and the other European languages to common people. This works aims to help people to translate English text to their own language and implement a TTS for the minority language, Malayalam. It is achieved by combining both Machine Translation and TTS. When an English text is given, it is translated to Malayalam with the help of a parser, using grammatical rules, applying morphology and a bilingual dictionary. From each of the translated Malayalam text, syllables are separated. A good number of syllables are recorded and stored in the syllable corpus. Syllables are concatenated to generate a synthesized Malayalam speech. Machine translation of English to Malayalam text is tested and achieved 73 percentage accuracy. For the TTS system, accuracy is verified by checking the naturalness and intelligibility. 87 percentages of the sentences are uttered correctly.",2016,K. Cui; Y. Du,1,6,6,,10.1109/ICETT.2016.7873642,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7873642,IEEE Conferences,IEEE
Sentiment Polarity in Translation,sentiment polarity;machine translation;sentiment transfer;language barriers,"Previous year, many researchers have been sentiment analysis on many focus languages. They analyzed and categorizing opinions expressed in a text. People express their opinions and feeling on social media as a daily routine. For sentiment analysis work, data plays an important role. Thus, social media become interested platform for opinion mining. On the other hand, low resource languages face less of sentiment resources (such as sentiment lexicon, corpus) than English language. It is needed to overcome language barriers and realize a sentiment platform capable of scoring in different languages when global opinion is need to decide something. In this paper, the expectations and limitations of machine translation in sentiment polarity task for Myanmar language is presented. We experiment with comments of particular news and general news that are expressed in social media news pages. Results show that sentiment transfer can be successful through human translation. This also demonstrates that translation from Myanmar to English has a significant effect on the preservation of sentiment by using translation engine. This happens primarily due to nature of Language but the results show that machine translation quality plays the important role in this work.",2020,K. Dabre; S. Dholay,1,6,6,,10.1109/ICCA49400.2020.9022831,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022831,IEEE Conferences,IEEE
Grammar-based and example-based techniques in machine translation from English to Arabic,MT;Agreement;Word reorder;Rule-Based;Example-based;Hybrid-based;OAK Parser,"In the modern world, there is an increased need for language translation. This paper presents English to Arabic approach for translating well-structured English sentences into well-structured Arabic sentences, using a grammar-based and example-translation techniques to handle the problems of ordering and agreement. This technique combines rule-based MT (RBMT) and example-based MT (EBMT) which is called hybrid-based MT (HERBMT). The proposed methodology is flexible and scalable. The main advantages of HERBMT are that it combines the advantages of RBMT and EBMT, and it can be applied to other languages with minor modifications. EBMT extracts an example of target language sentences that are analogous to input source language sentences. The extraction of appropriate translated sentences is preceded by an analysis stage for the decomposition of input sentences into appropriate fragments. RBMT is used when examples of the source language to be translated into the target language are not found in the machine database. The OAK Parser is used to analyze the input English text to get the part of speech (POS) for each word in the text as a pre-translation process. A major design goal of this system is that it will be used as a stand-alone tool, and can be integrated with a general machine translation system for English sentences. The evaluation is carried out on 250 independent test suites, and the analysis indicates that HERBMT achieved good performance with an average of 97.2% precision.",2013,K. Dixit; A. S. Jalal,1,6,6,,10.1109/ICT4M.2013.6518910,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6518910,IEEE Conferences,IEEE
Probabilistic language model for template messaging based on Bi-gram,Language Model;Machine Translation;N-gram;Probability distribution table (PDT);Statistical Machine Translation (SMT);Text Normalization,"This paper reports the benefits of Probabilistic language modeling in template messaging domain. Through a Statistical Machine Translation (SMT) sentences written with short forms, misspelled words and chatting slang can be corrected. Given a source-language (e.g., Short message) sentence, the problem of machine translation is to automatically produce a target-language (e.g., Long form English) translation, to be used by the young generation for messaging. The main goal behind this project is to analyze the improvement in efficiency as the size of bilingual corpus increases. Machine learning and translation systems, dictionary and textbook preparations, patent and reference searches, and various information retrieval systems are the main applications of the project.",2012,K. Griffith; J. Kalita,196,201,6,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6215598,IEEE Conferences,IEEE
Influence of PoS on the accuracy translation from Indonesian to interlingua,Machine Translation;Part of Speech;Interlingua,"Part of speech (PoS) is the classification of words according to form, function, and meaning. POS tagging is an important problem and is the first step in natural language processing. POS tagging directly affect the accuracy on the next steps in the processing of natural language like syntax parsing, ambiguity of the word, and machine translation In general, machine translation can be divided into three strategic approaches: direct system, transfer systems, and Interlingua system. This study will use a systems approach Interlingua referring to rule-based systems that can be used for purposes that are more universal. In Interlingua system, translated into the native language of interpretation of meaning such as predicate calculus or minimal recursion semantics. The methodology used in this study consisted of several steps: conduct analysis Interlingua representation that refers to the role of semantics for the preparation phase of the PoS and the rules of production and translation, Conduct Indonesian grammar, prepare for PoS Indonesian Interlingua Machine Translation, Constructing rule-production rule which refers to the Indonesian grammar and translation, which refers to the rules of predicate logic, the last stage is to conduct the evaluation. The evaluation was done by implementing software that uses Syntax-Directed Translation Scheme (SDTS) method. The software serves as to translate sentences Indonesian to Interlingua. Experiments conducted with the same sentences but use a different PoS. From the results of research conducted, defining the right PoS can affect the accuracy of the translation from Indonesian to Interlingua represented in the form of predicate calculus.",2011,K. K. Yadav; U. C. Jaiswal,1,6,6,,10.1109/ICEEI.2011.6021737,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6021737,IEEE Conferences,IEEE
Relative clause based text simplification for improved English to Hindi translation,Machine Translation;Text Simplification;Relative Clause identification;Computational Intelligence,"Language translation is one of the most research and development oriented topic in today's world because of its increasing demand and application. Knowledge of grammar structure of source and target languages is must for translating one language to other. Clauses are an integral part of any language and helps in constructing complex sentences in different contexts. This complication leads to a low score of translation in almost every machine translation engine existing in the world. In this work, we are focusing on relative clause identification and extraction for text simplification. The generated simple sentences are then fed to the existing translation engines for translation. Link Parser based parsing techniques are used to parse the sentence tree. In this work we have focused on achieving better quality of English-Hindi translations. The proposed approach is tested manually on a sufficiently large dataset and shows promising and better translation score than the conventional approaches.",2015,K. Kim; Y. Hong; Y. Han,1479,1484,6,4,10.1109/ICACCI.2015.7275821,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7275821,IEEE Conferences,IEEE
Syntax based machine translation using blended methodology,Synchronous Tree Substitution Grammar (STSG);Reordering;Grammar Rules;Blended approach;Syntax based Translation;Lexicon;Bilingual Corpus,"The basic concept of machine translation is to translate one human language to another human language. Many translation systems have been built using different approaches which have different accuracy levels. In this paper, a work is being proposed for Syntax Based Machine Translation System from English to Hindi language. The Syntax Based Machine Translation System has the goal of incorporating an explicit representation of syntax into the statistical systems, to get the best out of the two worlds. The approach used in this translation system is a Blended approach i.e. statistical approach along with the Rule-based approach with the intention to get more accurate translation. Incorporating the idea of Synchronous Tree Substitution Grammar (STSG), it has been tried to parallel generate English and Hindi rules dynamically, which leads to final translated Hindi text. A parallel aligned text corpora of English and Hindi is being used as Database of the system, which is limited and hence limits the translation. Further, the system undergoes through various stages of Preprocessing, Source language analysis and then source to target language analysis to get the translation. The user has provision to select the best suitable translation according to him. This paper proposes the working strategy of how translation is being carried out from English to Hindi and the accuracy level that it achieved.",2016,K. Knight; D. Marcu,242,247,6,,10.1109/NGCT.2016.7877422,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7877422,IEEE Conferences,IEEE
Automatic Sign Language Translation to Improve Communication,sign language;sign language recognition;translation;deaf;hearing disabilities;accessibility;inclusion,"Over the last years, there has been an increase in hearing-impaired students who use sign language as their main form of communication attending higher education institutions around the world. The knowledge that their comprehension of texts is reduced due to sentence structure differences causes a need for more solutions to improve communication and support students in environments where they are unable to be accompanied by sign interpreters. This article details the improvements and current structure of the VirtualSign platform, a bidirectional sign language to text translation tool that has been in development since 2015. The platform is divided into two main parts, sign to text and text to sign, and both components are described and explained. The solution has received positive feedback on several tests and a pilot experiment, and is being developed with partnerships with sign interpreters from six different European countries. Some planned improvements and future functionalities for the tool are also mentioned and detailed.",2019,K. Kolthoff,937,942,6,2,10.1109/EDUCON.2019.8725244,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8725244,IEEE Conferences,IEEE
TREF - TRanslation Enhancement Framework for Japanese-English,Machine Translation;Syntactical Analysis;Sequence Alignment,"We present a method for improving existing statistical machine translation methods using an knowledge-base compiled from a bilingual corpus as well as sequence alignment and pattern matching techniques from the area of machine learning and bioinformatics. An alignment algorithm identifies similar sentences, which are then used to construct a better word order for the translation. Our preliminary test results indicate a significant improvement of the translation quality.",2010,K. Lingam; E. R. Lakshmi; L. R. Theja,541,546,6,1,10.1109/IMCSIT.2010.5679926,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5679926,IEEE Conferences,IEEE
An unsupervised boosting technique for refiningword alignment,word alignment;boosting;statistical machine translation;mobile speech-to-speech translation,"Translation rules extracted from automatic word alignment form the basis of statistical machine translation (SMT) systems. An unsupervised expectation-maximization (EM) algorithm is typically used to obtain a word alignment from parallel corpora. Being statistically-driven, the alignments produced by this technique are often erroneous. In this paper, we propose an unsupervised boosting strategy for refining automatic word alignment with the goal of improving SMT performance. The proposed approach results in fewer unaligned words, a significant reduction in the number of extracted translation phrase pairs, a corresponding improvement in SMT decoding speed, and a consistent improvement in translation accuracy, as measured by BLEU, across multiple language pairs and test sets. The reduction in storage and processing requirements coupled with improved accuracy make the proposed technique ideally suited for interactive translation services, facilitating applications such as mobile speech-to-speech translation.",2010,K. M. Iftekharuddin,177,182,6,1,10.1109/SLT.2010.5700847,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5700847,IEEE Conferences,IEEE
Building a Filipino Colloquialism Translator Using Sequence-to-Sequence Model,Machine Translation;Statistical;Sequence-to-Sequence model;RNN;Filipino Colloquialism,"Colloquialism in the Philippines has been prominently used in day-to-day conversations. Its vast emergence is evident especially on social media platforms but poses issues in terms of understandability to certain groups. For this research, machine translators have been implemented to fill in that gap. The translators cover Filipino Textspeak or Shortcuts, Swardspeak or Gay-lingo, Conyo, and Datkilab - implemented on Tensorflow library and Moses tool. Implementing in Tensorflow achieved 85.88 BLEU score when evaluated to the training data and 14.67 to the test data, while Moses garnered 95.27 BLEU score on training data and 79.91 on test data. Analyses on both implementations include advantages and disadvantages in using each one. Through the analyses and development of this research, it is recommended to implement the following in the future: addition of colloquialism samples, experimentation on sequence-to-sequence configurations, applying Graphical User Interface (GUI) to the translators, implementing the translators to Natural Language Processing (NLP) tools, and to deploy the translators as a web application.",2018,K. Mokhtar; S. S. Bukhari; A. Dengel,2199,2204,6,,10.1109/TENCON.2018.8650118,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8650118,IEEE Conferences,IEEE
Divide and Translate Legal Text Sentence by Using Its Logical Structure,phrase-based machine translation;logical structure of legal text sentence;CRFs,"Translating legal text is generally considered to be difficult because legal text has some characteristics that make it different from other daily-use documents and legal text is usually long and complicated. In order boost the legal text translation quality, splitting an input sentence becomes mandatory. In this paper, we propose a novel method based on the logical structure of legal text sentence for dividing and translating legal text. We use a statistical learning method-Conditional Random Fields (CRFs) with rich linguistic information to recognize the logical structure of legal text sentence. We adapt the logical structure of legal text sentence to divide the sentence. By doing so, translation quality improves. Our experiments show that our approach can achieve better result for both Japanese-English and English-Japanese legal text translation by BLEU, NIST and TER score.",2012,K. N. Acheampong; W. Tian,18,23,6,,10.1109/KICSS.2012.19,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405605,IEEE Conferences,IEEE
Evaluation of Rewriting Service in Language Translation Web Services Workflow,intercultural collaboration;machine translation;language grid;web service,"We discuss here the complementarity effect of rewriting services in a language-translation Web service work-flow. The communication mediated by the machine translation service includes mistranslations and changed meanings, which are caused by the quality of the machine translation. To reduce these problems, we propose service reallocation and assemblage of the rewriting service by humans at each stage of the workflow. We set up two rewriting service allocation patterns: 1) a reallocation pattern as a previous rewriting process, and 2) a reallocation pattern as a follow-on rewriting process, for workflows consisting only of machine translations. A team of human judges provide multiple assessments of adequacy and fluency of sample sentences that are translated from English to Japanese using each pattern. Results indicated that the Japanese rewriting task as a follow-on rewriting service provided greater fluency than an English rewriting task as a previous rewriting service, with nearly equal adequacy.",2013,K. Nishimura; H. Kawanami; H. Saruwatari; K. Shikano,21,26,6,2,10.1109/CultureComputing.2013.12,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6680325,IEEE Conferences,IEEE
PACT - Programming Assistant ChaTbot,chatbot;neural machine translation;generative model;encoder-decoder,"Programmers face situations where they have to rely on messy documentation, other developers and online search for basic programming commands and queries when they encounter any new programming environment. This leads to the waste of time of developers and decreases productivity. In this paper, we present, “PACT�?, a chat bot which assists the programmers with basic programming queries that they face when they are new to a programming environment. We use Neural Machine Translation architecture to generate coherent, non-rule based responses to a programmer's query. The data that is fed to the neural machine translation model is collected from websites like StackOverflow, technical sub-reddits and technical StackExchanges.",2019,K. Priyadharshini,131,136,6,,10.1109/ICCT46177.2019.8969070,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8969070,IEEE Conferences,IEEE
Improved Graph-Based Bilingual Corpus Selection with Sentence Pair Ranking for Statistical Machine Translation,SMT;Ranking;Corpus Selection;Graph,"In statistical machine translation, the number of sentence pairs in the bilingual corpus is very important to the quality of translation. However, when the quantity reaches some extent, enlarging corpus has less effect on the translation, whereas increasing greatly the time and space complexity to building translation systems, which hinders the development of statistical machine translation. In this paper, we propose several ranking approaches to measure the quantity of information of each sentence pair, and apply them into a graph-based bilingual corpus selection framework to form an improved corpus selection approach, which now considers the difference of the initial quantities of information between the sentence pairs. Our experiments in a Chinese-English translation task show that, selecting only 50% of the whole corpus via the graph-based selection approach as training set, we can obtain the near translation result with the one using the whole corpus, and we obtain better results than the baselines after using the IDF-related ranking approach.",2011,K. Saija; S. Sangeetha; V. Shah,446,451,6,1,10.1109/ICTAI.2011.73,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6103363,IEEE Conferences,IEEE
Rule base to resolve translation problems due to differences in gender properties in sibling language pair Gujarati-Hindi,empirical rules;rule base;sibling language;machine translation,"GH-MAP is a rule based token mapping system for translation between sibling language pair Gujarati-Hindi. However, with this rule bases it is not possible to obtain 'most' appropriate translation in certain cases of post positions markers, pronouns, adjectives and adverbs, where post position markers, pronouns, adjectives and adverbs are under the influence of grammatical properties of other elements of the sentence. The translation problem of current GH-MAP has been resolved by enriching GH-MAP with special empirical rules, formed based on observed patterns. These empirical rules help GH-MAP to obtain more appropriate translation. The revamped GH-MAP has been evaluated on 332 Hindi sentences. It has proved the importance of empirical rules by achieving 4% improvement over an existing GH-MAP.",2010,K. Saito; E. Yamamoto; M. Ueno; K. Kanzaki; H. Isahara,776,781,6,2,10.1109/ICCCT.2010.5640439,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5640439,IEEE Conferences,IEEE
Query Translation for Cross-Language Information Retrieval by Parsing Constraint Synchronous Grammar,Cross-Language Information Retrieval;Machine translation;Constraint synchronous grammar,"With the availability of large amounts of multilingual documents, cross-language information retrieval (CLIR) has become an active research area in recent years. However, researchers often face with the problem of inherent ambiguities involved in natural languages. Moreover, this task is even more challenging for processing the Chinese language because word boundaries are not defined in the sentence. This paper presents a Chinese-Portuguese query translation for CLIR based on a machine translation (MT) system that parses constraint synchronous grammar (CSG). Unlike traditional transfer-based MT architectures, this model only requires a set of CSG rules for modeling syntactic structures of two languages simultaneously to perform the translation. Moreover, CSG can be used to remove different levels of disambiguation as the parsing processes in order to generate a translation with quality.",2007,K. Singvongsa; P. Seresangtakul,4003,4008,6,2,10.1109/ICMLC.2007.4370846,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4370846,IEEE Conferences,IEEE
An efficient approach to rule redundancy reduction in hierarchical phrase-based translation,Statistical machine translation;hierarchical phrase;redundancy;rift,"Hierarchical phrase-based machine translation model is a popular syntax model that makes use of the expressive power of synchronous context-free grammars (SCFG) to address the reordering problem in statistical machine translation. The model, however, generally suffers from a great amount of redundancy in the extracted translation rules. In this paper, we re-introduce the concept of rift into the rule extraction procedure to force the rules with reordering power to concentrate on where reordering has actually happened. Our approach brings a dramatic reduction in the training time and the number of the rules, with only minor sacrifice in translation quality.",2008,K. Soleymanzadeh; B. Karaoğlan; S. K. Metin; T. Kişla,1,6,6,,10.1109/NLPKE.2008.4906773,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4906773,IEEE Conferences,IEEE
Automatic speech recognition of the Mixtec language: An ubiquitous computing application,Ubiquitous Computing;Mixtec Language;Automatic Speech Recognition,"In this work we present the implementation by means of ubiquitous computing of an Automatic Speech Recognizer (ASR) for the Mixtec language. This is proposed as a key development for future speech translation systems between the Mixtec and the Spanish languages in remote communities. The core of the ASR system was built with Hidden Markov Models (HMMs) and the management of its resources was performed with an interface developed with MATLAB. The interface was integrated with scripts that allowed remote access to the ASR by means of the MLConnect for Android devices with Wi-Fi connection. Experiments performed with a smartphone and a tablet PC, both inside a building, showed fast accessibility and word recognition accuracies over 92% for non-native speakers.",2013,K. Terui; R. Hishiyama,98,103,6,,10.1109/CONIELECOMP.2013.6525767,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6525767,IEEE Conferences,IEEE
Automatic translation of text phrases into vector images for crisis communication,Global communication;image analysis;information management;information systems;picture archiving and communication systems;semantic Web;social network services,"Our contribution to the discipline of Information Systems consists in an attempt to develop a first technical approach for the automatic translation of series of syntagms (text phrases) into “Signagrams�?, to improve the management of multilingual information. We develop a new software that provides an instant translation of a written text into signagrams to allow access to information on some topic among national and international users. The signagram is the unit for signage. As an example, we adapt the software to the situation of emergency, where government units have to respond and give instructions to the population. We construct a first ontology for the situation of emergency that we link to the dictionary for signagrams. The translation software is developed in Java. We then test technically the translation method.",2015,K. Vijayanand; S. I. Choudhury; P. Ratna,119,124,6,1,10.1109/ISEI.2015.7358733,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7358733,IEEE Conferences,IEEE
Segmenting Long Sentence Pairs for Statistical Machine Translation,segmentation;long sentences;semantics guided;Poisson distributed length ratio;length normalization,"In phrase-based statistical machine translation, the knowledge about phrase translation and phrase reordering is learned from the bilingual corpora. However, words may be poorly aligned in long sentence pairs in practice, which will then do harm to the following steps of the translation, such as phrase extraction, etc. A possible solution to this problem is segmenting long sentence pairs into shorter ones. In this paper, we present an effective approach to segmenting sentences based on the modified IBM translation model 1. We find that by taking into account the semantics of some words, as well as the length ratio of source and target sentences, the segmentation result is largely improved. We also discuss the effect of length factor to the segmentation result. Experiments show that our approach can improve the BLEU score of a phrase-based translation system by about 0.5 points.",2009,K. Wu; X. Wang; A. Aw,53,58,6,2,10.1109/IALP.2009.20,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5380801,IEEE Conferences,IEEE
Combining a large sentiment lexicon and machine learning for subjectivity classification,Subjectivity classification;Ensemble techniques;Supervised approaches;Machine learning,"Most previous work on subjectivity/sentiment classification bases on either machine learning techniques (such as SVM, Maximum Entropy, Naive Bayes, etc.) or general sentiment lexicons. This paper presents a novel approach to combine a large sentiment lexicon and machine learning techniques for opinion analysis: 1) a large sentiment lexicon is automatically adjusted according to training data; 2) machine learning techniques are used to learn models on training data; 3) the results given by machine learning classifiers and the supervised lexicon-based classifier are combined to get better results. The experiments with the NTCIR data show that our approach significantly outperforms the baselines on subjectivity classification, i.e. the adjusted large sentiment lexicon shows good performance and its combination with machine learning techniques shows further improvement.",2010,K. Zeng; I. Paik,3311,3316,6,12,10.1109/ICMLC.2010.5580672,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5580672,IEEE Conferences,IEEE
Developing a Statistical Turkish Sign Language Translation System for Primary School Students,Natural Language Processing;Statistical Machine Translation;Sign Language;Turkish,"As the access to information in the education domain increases, new technologies are developing for school children. However, deaf and dumb children still have limited access to the information, especially in their school lives. One of the most important reasons for this problem is the lack of studies in the Sign Language domain. In this paper, we propose a novel method for translation from Turkish to Turkish Sign Language for primary school students using the statistical machine translation approach. To the best of our approach, this is the first work that applies statistical translation to Turkish Sign Language. A parallel corpus is compiled from the books published by Ministry of National Education of Turkey. The results of the system were tested using different evaluation metrics. We observe that the results obtained are motivating for new studies.",2019,Kui Wu; Xuancong Wang; Nina Zhou; AiTi Aw; Haizhou Li,1,6,6,,10.1109/INISTA.2019.8778246,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8778246,IEEE Conferences,IEEE
An improvement of translation quality with adding key-words in parallel corpus,Parallel corpus;Statistical machine translation,"In this paper, we propose a new approach to improve the translation quality by adding the Key-Words of a sentence to the parallel corpus. The main idea of the approach is to find the key-words of sentences that cannot be properly translated by the model, and then put it or them in the training corpus in a separated line as a sentence. During our experiment, we use two statistical machine translation (SMT) systems, word-based SMT (ISI-rewrite) and phrase-based SMT (Moses), and a small parallel corpus (4,000 sentences) to check our assumption. To our glad, we get a better BLEU score than the original parallel text. It can improve about 6% in word-based SMT (isi-rewrite) and 4% in phrased-based SMT (Moses). At last we build a 120,000 English-Chinese parallel corpus in this way.",2010,L. C. Galea; A. F. Smeaton,1273,1278,6,,10.1109/ICMLC.2010.5580888,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5580888,IEEE Conferences,IEEE
Monotonic filter for hierarchical translation models,Statistical machine translation;Hierarchical rules filtering;Filtered rule extraction;Phrase decomposition pattern,"The model size and decoding time are known issues in statistical machine translation. Especially, monotonic words order of language pairs makes the size of hierarchical models huge. Considering this fact, the rule extraction method of phrase-boundary model was changed to extract less number of rules. This paper proposes this rule extraction method as a general filter for hierarchical models. Named as monotonic filter, this filter reduces the extracted rules from phrase pairs decomposable to monotonic aligned subphrases. We apply the monotonic filter on the hierarchical phrase-based, SAMT and phrase-boundary models. Our experiments are performed in translations from Persian, German and French to English as the source and target languages with low, medium and high monotonic word order respectively. The reduction amount of the monotonic filter for the model size and decoding time is up to about 70% and 80% respectively, in most cases with no tangible impact on the translation quality.",2016,L. Capra,19,24,6,1,10.1109/ICCKE.2016.7802109,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7802109,IEEE Conferences,IEEE
