Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Introduction to the Special Issue on Machine Translation for Low-Resource Languages","Machine Translation","","34","4","10.1007/s10590-020-09256-8","Chao-Hong LiuAlina KarakantaAudrey N. TongOleg AulovIan M. SoboroffJonathan WashingtonXiaobing Zhao","2020","http://link.springer.com/article/10.1007/s10590-020-09256-8","Article"
"Example-Based Machine Translation via the Web","Machine Translation: From Research to Real Users","","","","10.1007/3-540-45820-4_8","Nano GoughAndy WayMary Hearne","2002","http://link.springer.com/chapter/10.1007/3-540-45820-4_8","Chapter"
"Effective Soft-Adaptation for Neural Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-32236-6_22","Shuangzhi WuDongdong ZhangMing Zhou","2019","http://link.springer.com/chapter/10.1007/978-3-030-32236-6_22","Chapter"
"An Empirical Comparison of Stack-Based Decoding Algorithms for Statistical Machine Translation","Pattern Recognition and Image Analysis","","","","10.1007/978-3-540-44871-6_76","Daniel OrtizIsmael García VareaFrancisco Casacuberta","2003","http://link.springer.com/chapter/10.1007/978-3-540-44871-6_76","Chapter"
"Hindi to Punjabi Machine Translation System","Information Systems for Indian Languages","","","","10.1007/978-3-642-19403-0_40","Vishal GoyalGurpreet Singh Lehal","2011","http://link.springer.com/chapter/10.1007/978-3-642-19403-0_40","Chapter"
"The Application of Phrase Based Statistical Machine Translation Techniques to Myanmar Grapheme to Phoneme Conversion","Computational Linguistics","","","","10.1007/978-981-10-0515-2_17","Ye Kyaw ThuWin Pa PaAndrew FinchJinfu NiEiichiro SumitaChiori Hori","2016","http://link.springer.com/chapter/10.1007/978-981-10-0515-2_17","Chapter"
"Some Improvements in Phrase-Based Statistical Machine Translation","Chinese Spoken Language Processing","","","","10.1007/11939993_71","Zhendong YangWei PangJinhua DuWei WeiBo Xu","2006","http://link.springer.com/chapter/10.1007/11939993_71","Chapter"
"Word Position Aware Translation Memory for Neural Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-32233-5_29","Qiuxiang HeGuoping HuangLemao LiuLi Li","2019","http://link.springer.com/chapter/10.1007/978-3-030-32233-5_29","Chapter"
"Opening Machine Translation Black Box for Cross-Language Information Retrieval","Information Retrieval Technology","","","","10.1007/978-3-642-35341-3_42","Yanjun MaJian-Yun NieHua WuHaifeng Wang","2012","http://link.springer.com/chapter/10.1007/978-3-642-35341-3_42","Chapter"
"Machine translation evaluation versus quality estimation","Machine Translation","","24","1","10.1007/s10590-010-9077-2","Lucia SpeciaDhwaj RajMarco Turchi","2010","http://link.springer.com/article/10.1007/s10590-010-9077-2","Article"
"Pattern Matching-Based System for Machine Translation (MT)","Advances in Artificial Intelligence","","","","10.1007/11752912_35","George TambouratzisSokratis SofianopoulosVassiliki SpiliotiMarina VassiliouOlga YannoutsouStella Markantonatou","2006","http://link.springer.com/chapter/10.1007/11752912_35","Chapter"
"Disambiguating Phrasal Verbs in English to Kannada Machine Translation","Wireless Networks and Computational Intelligence","","","","10.1007/978-3-642-31686-9_47","Parameswarappa S.Narayana V.N.","2012","http://link.springer.com/chapter/10.1007/978-3-642-31686-9_47","Chapter"
"A Hybrid Sentence Splitting Method by Comma Insertion for Machine Translation with CRF","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-319-25816-4_12","Shuli YangChong FengHeyan Huang","2015","http://link.springer.com/chapter/10.1007/978-3-319-25816-4_12","Chapter"
"An Approach for Efficient Machine Translation Using Translation Memory","Smart Trends in Information Technology and Computer Communications","","","","10.1007/978-981-10-3433-6_34","Sunita RawatM. B. ChandakNekita Chauhan","2016","http://link.springer.com/chapter/10.1007/978-981-10-3433-6_34","Chapter"
"Better Addressing Word Deletion for Statistical Machine Translation","Natural Language Understanding and Intelligent Applications","","","","10.1007/978-3-319-50496-4_8","Qiang LiDongdong ZhangMu LiTong XiaoJingbo Zhu","2016","http://link.springer.com/chapter/10.1007/978-3-319-50496-4_8","Chapter"
"RGraph: Generating Reference Graphs for Better Machine Translation Evaluation","Machine Translation","","","","10.1007/978-981-10-7134-8_6","Hongjie JiShujian HuangQi HouCunyan YinJiajun Chen","2017","http://link.springer.com/chapter/10.1007/978-981-10-7134-8_6","Chapter"
"Applying Machine Translation to Two-Stage Cross-Language Information Retrieval","Envisioning Machine Translation in the Information Future","","","","10.1007/3-540-39965-8_2","Atsushi FujiiTetsuya Ishikawa","2000","http://link.springer.com/chapter/10.1007/3-540-39965-8_2","Chapter"
"Neural Machine Translation","Joint Training for Neural Machine Translation","","","","10.1007/978-981-32-9748-7_1","Yong Cheng","2019","http://link.springer.com/chapter/10.1007/978-981-32-9748-7_1","Chapter"
"NERITS - A Machine Translation Mashup System Using Wikimeta and DBpedia","The Semantic Web: ESWC 2013 Satellite Events","","","","10.1007/978-3-642-41242-4_57","Kamel NebhiLuka NerimaEric Wehrli","2013","http://link.springer.com/chapter/10.1007/978-3-642-41242-4_57","Chapter"
"Synonym-Based Reordering Model for Statistical Machine Translation","Intelligent Computing Methodologies","","","","10.1007/978-3-319-42297-8_35","Zhenxin YangMiao LiLei ChenKai Sun","2016","http://link.springer.com/chapter/10.1007/978-3-319-42297-8_35","Chapter"
"Introduction: Special issue on building lexicons for machine translation","Machine Translation","","10","1 - 2","10.1007/BF00997230","Bonnie J. DorrJudith Klavans","1995","http://link.springer.com/article/10.1007/BF00997230","Article"
"Domain-Specific Hybrid Machine Translation from English to Portuguese","Computational Processing of the Portuguese Language","","","","10.1007/978-3-319-41552-9_5","João RodriguesLuís GomesSteven NealeAndreia QueridoNuno RendeiroSanja ŠtajnerJoão SilvaAntónio Branco","2016","http://link.springer.com/chapter/10.1007/978-3-319-41552-9_5","Chapter"
"Shallow Syntactic Preprocessing for Statistical Machine Translation","Advances in Natural Language Processing","","","","10.1007/978-3-642-33983-7_11","Hoai-Thu VuongDao Ngoc TuMinh Le NguyenVinh Van Nguyen","2012","http://link.springer.com/chapter/10.1007/978-3-642-33983-7_11","Chapter"
"A model of an IP machine translation system based on term frequency weighting and the hidden Markov chain","Automatic Documentation and Mathematical Linguistics","","45","4","10.3103/S0005105511040042","K. V. Polyanskii","2011","http://link.springer.com/article/10.3103/S0005105511040042","Article"
"Incorporating Named Entity Information into Neural Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-60450-9_31","Leiying ZhouWenjie LuJie ZhouKui MengGongshen Liu","2020","http://link.springer.com/chapter/10.1007/978-3-030-60450-9_31","Chapter"
"Partial Least Squares for Word Confidence Estimation in Machine Translation","Pattern Recognition and Image Analysis","","","","10.1007/978-3-642-38628-2_59","Jesús González-RubioJose Ramón Navarro-CerdánFrancisco Casacuberta","2013","http://link.springer.com/chapter/10.1007/978-3-642-38628-2_59","Chapter"
"Phrase Tagset Mapping for French and English Treebanks and Its Application in Machine Translation Evaluation","Language Processing and Knowledge in the Web","","","","10.1007/978-3-642-40722-2_13","Aaron Li-Feng HanDerek F. WongLidia S. ChaoLiangye HeShuo LiLing Zhu","2013","http://link.springer.com/chapter/10.1007/978-3-642-40722-2_13","Chapter"
"L&H Lexicography Toolkit for Machine Translation","Envisioning Machine Translation in the Information Future","","","","10.1007/3-540-39965-8_24","Timothy MeekhofDavid Clements","2000","http://link.springer.com/chapter/10.1007/3-540-39965-8_24","Chapter"
"Automatic Post-Editing Method Using Translation Knowledge Based on Intuitive Common Parts Continuum for Statistical Machine Translation","Speech and Computer","","","","10.1007/978-3-319-11581-8_16","Hiroshi Echizen’yaKenji ArakiYuzu UchidaEduard Hovy","2014","http://link.springer.com/chapter/10.1007/978-3-319-11581-8_16","Chapter"
"Discriminative Spoken Language Understanding Using Statistical Machine Translation Alignment Models","Artificial Intelligence and Signal Processing","","","","10.1007/978-3-319-10849-0_20","Mohammad AliannejadiShahram KhadiviSaeed Shiry GhidaryMohammad Hadi Bokaei","2014","http://link.springer.com/chapter/10.1007/978-3-319-10849-0_20","Chapter"
"Syntactic Reordering for Arabic- English Phrase-Based Machine Translation","Database Theory and Application, Bio-Science and Bio-Technology","","","","10.1007/978-3-642-17622-7_20","Arwa HatemNazlia Omar","2010","http://link.springer.com/chapter/10.1007/978-3-642-17622-7_20","Chapter"
"Towards Creation of a Lithuanian Lemmatizer for Open Online Collaborative Machine Translation","Information and Software Technologies","","","","10.1007/978-3-319-67642-5_43","Jurgita Kapočiūtė-DzikienėVincent BermentErika Rimkutė","2017","http://link.springer.com/chapter/10.1007/978-3-319-67642-5_43","Chapter"
"Improving Low-Resource Neural Machine Translation with Weight Sharing","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-030-01716-3_6","Tao FengMiao LiXiaojun LiuYichao Cao","2018","http://link.springer.com/chapter/10.1007/978-3-030-01716-3_6","Chapter"
"Towards Extended Machine Translation Model for Next Generation World Wide Web","Grid and Cooperative Computing - GCC 2004","","","","10.1007/978-3-540-30208-7_162","Gulisong NasierdingYang XiangHonghua Dai","2004","http://link.springer.com/chapter/10.1007/978-3-540-30208-7_162","Chapter"
"A Hybrid Rule and Example-Based Method for Machine Translation","Recent Advances in Example-Based Machine Translation","","","","10.1007/978-94-010-0181-6_7","Francis BondSatoshi Shirai","2003","http://link.springer.com/chapter/10.1007/978-94-010-0181-6_7","Chapter"
"Intelligent Case Based Machine Translation System","Computational Linguistics and Intelligent Text Processing","","","","10.1007/3-540-44686-9_21","Wang JianDeChen ZhaoXiongHuang HeYan","2001","http://link.springer.com/chapter/10.1007/3-540-44686-9_21","Chapter"
"An English-Arabic Bi-directional Machine Translation Tool in the Agriculture Domain","Intelligent Information Processing V","","","","10.1007/978-3-642-16327-2_34","Khaled ShaalanAshraf HendamAhmed Rafea","2010","http://link.springer.com/chapter/10.1007/978-3-642-16327-2_34","Chapter"
"Toward Interlinking Asian Resources Effectively: Chinese to Korean Frequency-Based Machine Translation System","Semantic Technology","","","","10.1007/978-3-319-06826-8_6","Eun Ji KimMun Yong Yi","2014","http://link.springer.com/chapter/10.1007/978-3-319-06826-8_6","Chapter"
"SYSTRAN on AltaVista A User Study on Real-Time Machine Translation on the Internet","Machine Translation and the Information Soup","","","","10.1007/3-540-49478-2_25","Jin YangElke D. Lange","1998","http://link.springer.com/chapter/10.1007/3-540-49478-2_25","Chapter"
"Pushing the frontier of Statistical Machine Translation: Preface","Machine Translation","","24","2","10.1007/s10590-010-9084-3","Lucia SpeciaNicola Cancedda","2010","http://link.springer.com/article/10.1007/s10590-010-9084-3","Article"
"Noise-Based Adversarial Training for Enhancing Agglutinative Neural Machine Translation","PRICAI 2019: Trends in Artificial Intelligence","","","","10.1007/978-3-030-29908-8_31","Yatu JiHongxu HouJunjie ChenNier Wu","2019","http://link.springer.com/chapter/10.1007/978-3-030-29908-8_31","Chapter"
"Automatic Selection of Parallel Data for Machine Translation","Artificial Intelligence Applications and Innovations","","","","10.1007/978-3-319-92016-0_14","Despoina MouratidisKatia Lida Kermanidis","2018","http://link.springer.com/chapter/10.1007/978-3-319-92016-0_14","Chapter"
"Comparative Analysis of Tools Available for Developing Statistical Approach Based Machine Translation System","Information Systems for Indian Languages","","","","10.1007/978-3-642-19403-0_44","Ajit KumarVishal Goyal","2011","http://link.springer.com/chapter/10.1007/978-3-642-19403-0_44","Chapter"
"Combining Phrase and Neural-Based Machine Translation: What Worked and Did Not","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-75487-1_2","Marta R. Costa-jussàJosé A. R. Fonollosa","2018","http://link.springer.com/chapter/10.1007/978-3-319-75487-1_2","Chapter"
"Statistical Machine Translation from and into Morphologically Rich and Low Resourced Languages","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-18111-0_41","Randil PushpanandaRuvan WeerasingheMahesan Niranjan","2015","http://link.springer.com/chapter/10.1007/978-3-319-18111-0_41","Chapter"
"Effective Online Learning Implementation for Statistical Machine Translation","Databases and Information Systems","","","","10.1007/978-3-319-97571-9_24","Toms MiksMārcis PinnisMatīss RiktersRihards Krišlauks","2018","http://link.springer.com/chapter/10.1007/978-3-319-97571-9_24","Chapter"
"Incorporating Phrase-Level Agreement into Neural Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-60450-9_33","Mingming YangXing WangMin ZhangTiejun Zhao","2020","http://link.springer.com/chapter/10.1007/978-3-030-60450-9_33","Chapter"
"An Investigation on Statistical Machine Translation with Neural Language Models","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-319-12277-9_16","Yinggong ZhaoShujian HuangHuadong ChenJiajun Chen","2014","http://link.springer.com/chapter/10.1007/978-3-319-12277-9_16","Chapter"
"Machine translation output and translation theory","Computers and translation","","2","1","10.1007/BF01540132","Nadeshda K. Riabtseva","1987","http://link.springer.com/article/10.1007/BF01540132","Article"
"OpenLogos Machine Translation: Exploring and Using It in Anusaaraka Platform","Information Systems for Indian Languages","","","","10.1007/978-3-642-19403-0_11","Sriram ChaudhurySukhadaAkshar Bharati","2011","http://link.springer.com/chapter/10.1007/978-3-642-19403-0_11","Chapter"
"On a Kernel Regression Approach to Machine Translation","Pattern Recognition and Image Analysis","","","","10.1007/978-3-642-02172-5_51","Nicolás SerranoJesús Andrés-FerrerFrancisco Casacuberta","2009","http://link.springer.com/chapter/10.1007/978-3-642-02172-5_51","Chapter"
"Peter Whitelock and Kieran Kilby, Linguistic and Computational Techniques in Machine Translation System Design","Machine Translation","","12","3","10.1023/A:1007952330181","Winfred P. Lehmann","1997","http://link.springer.com/article/10.1023/A%3A1007952330181","Article"
"Error Analysis of English-Chinese Machine Translation","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-319-47674-2_4","Fei FangShili GeRou Song","2016","http://link.springer.com/chapter/10.1007/978-3-319-47674-2_4","Chapter"
"Improving Quality Estimation of Machine Translation by Using Pre-trained Language Representation","Machine Translation","","","","10.1007/978-981-15-1721-1_2","Guoyi MiaoHui DiJinan XuZhongcheng YangYufeng ChenKazushige Ouchi","2019","http://link.springer.com/chapter/10.1007/978-981-15-1721-1_2","Chapter"
"German Compounds in Factored Statistical Machine Translation","Advances in Natural Language Processing","","","","10.1007/978-3-540-85287-2_44","Sara Stymne","2008","http://link.springer.com/chapter/10.1007/978-3-540-85287-2_44","Chapter"
"Bayesian Adaptation for Statistical Machine Translation","Structural, Syntactic, and Statistical Pattern Recognition","","","","10.1007/978-3-642-14980-1_61","Germán Sanchis-TrillesFrancisco Casacuberta","2010","http://link.springer.com/chapter/10.1007/978-3-642-14980-1_61","Chapter"
"Challenges in NP Case-Mapping in Sanskrit Hindi Machine Translation","Information Systems for Indian Languages","","","","10.1007/978-3-642-19403-0_50","Kumar Nripendra PathakGirish Nath Jha","2011","http://link.springer.com/chapter/10.1007/978-3-642-19403-0_50","Chapter"
"Exploring Machine Translation on the Chinese-Vietnamese Language Pair (Extended Abstract)","Computational Data and Social Networks","","","","10.1007/978-3-030-34980-6_24","Huu-Anh TranPhuoc TranPhuong-Thuy DaoThi-Mien Pham","2019","http://link.springer.com/chapter/10.1007/978-3-030-34980-6_24","Chapter"
"Forest to String Based Statistical Machine Translation with Hybrid Word Alignments","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-75487-1_4","Santanu PalSudip Kumar NaskarJosef van Genabith","2018","http://link.springer.com/chapter/10.1007/978-3-319-75487-1_4","Chapter"
"A Syntactic-based Word Re-ordering for English-Vietnamese Statistical Machine Translation System","PRICAI 2008: Trends in Artificial Intelligence","","","","10.1007/978-3-540-89197-0_75","Hong-Nhung Nguyen ThiDien Dinh","2008","http://link.springer.com/chapter/10.1007/978-3-540-89197-0_75","Chapter"
"Passive-Aggressive for On-Line Learning in Statistical Machine Translation","Pattern Recognition and Image Analysis","","","","10.1007/978-3-642-21257-4_30","Pascual Martínez-GómezGermán Sanchis-TrillesFrancisco Casacuberta","2011","http://link.springer.com/chapter/10.1007/978-3-642-21257-4_30","Chapter"
"English-Marathi Neural Machine Translation Using Local Attention","Advanced Computing","","","","10.1007/978-981-16-0401-0_21","K. Adi Narayana ReddyG. Shyam Chandra PrasadA. Rajashekar ReddyL. Naveen KumarKannaiah","2021","http://link.springer.com/chapter/10.1007/978-981-16-0401-0_21","Chapter"
"Machine Translation Systems: E-K, K-E, J-K, K-J","Envisioning Machine Translation in the Information Future","","","","10.1007/3-540-39965-8_28","Yu Seop KimSung Dong KimSeong Bae ParkJong Woo LeeJeong Ho ChangKyu Baek HwangJang O MinYung Taek Kim","2000","http://link.springer.com/chapter/10.1007/3-540-39965-8_28","Chapter"
"Ranking Machine Translation Systems via Post-editing","Text, Speech, and Dialogue","","","","10.1007/978-3-642-40585-3_52","Wilker AzizRuslan MitkovLucia Specia","2013","http://link.springer.com/chapter/10.1007/978-3-642-40585-3_52","Chapter"
"Improving Mongolian-Chinese Machine Translation with Automatic Post-editing","Neural Information Processing","","","","10.1007/978-3-030-63830-6_64","Shuo SunHongxu HouNier WuZiyue Guo","2020","http://link.springer.com/chapter/10.1007/978-3-030-63830-6_64","Chapter"
"Statistical Machine Translation of German Compound Words","Advances in Natural Language Processing","","","","10.1007/11816508_61","Maja PopovićDaniel SteinHermann Ney","2006","http://link.springer.com/chapter/10.1007/11816508_61","Chapter"
"Incremental and Adaptive Learning for Interactive Machine Translation","Multimodal Interactive Pattern Recognition and Applications","","","","10.1007/978-0-85729-479-1_8","Dr. Alejandro Héctor ToselliDr. Enrique VidalProf. Francisco Casacuberta","2011","http://link.springer.com/chapter/10.1007/978-0-85729-479-1_8","Chapter"
"A Topic-Based Reordering Model for Statistical Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-662-45924-9_37","Xing WangDeyi XiongMin ZhangYu HongJianmin Yao","2014","http://link.springer.com/chapter/10.1007/978-3-662-45924-9_37","Chapter"
"Sentence-Length Informed Method for Active Learning Based Resource-Poor Statistical Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-662-45924-9_9","Jinhua DuMiaomiao WangMeng Zhang","2014","http://link.springer.com/chapter/10.1007/978-3-662-45924-9_9","Chapter"
"Third International Conference on Theoretical and Methodological Issues in Machine Translation of Natural Languages","Machine Translation","","5","2","10.1007/BF00393760","Gary A. Coen","1990","http://link.springer.com/article/10.1007/BF00393760","Article"
"Neural Machine Translation with Recurrent Highway Networks","Mining Intelligence and Knowledge Exploration","","","","10.1007/978-3-030-05918-7_27","Maulik ParmarV. Susheela Devi","2018","http://link.springer.com/chapter/10.1007/978-3-030-05918-7_27","Chapter"
"Minimum Error-Rate Training in Statistical Machine Translation Using Structural SVMs","Pattern Recognition and Image Analysis","","","","10.1007/978-3-642-02172-5_49","Jesús González-RubioDaniel Ortiz-MartinezFrancisco Casacuberta","2009","http://link.springer.com/chapter/10.1007/978-3-642-02172-5_49","Chapter"
"Toward Practical Use of Machine Translation","Advances in Natural Language Processing","","","","10.1007/978-3-642-33983-7_3","Hitoshi Isahara","2012","http://link.springer.com/chapter/10.1007/978-3-642-33983-7_3","Chapter"
"Knowledge-based machine translation","Machine Translation","","4","1","10.1007/BF00367750","Sergei Nirenburg","1989","http://link.springer.com/article/10.1007/BF00367750","Article"
"Direct-Bridge Combination Scenario for Persian-Spanish Low-Resource Statistical Machine Translation","Artificial Intelligence and Natural Language","","","","10.1007/978-3-030-01204-5_7","Benyamin AhmadniaJavier SerranoGholamreza HaffariNik-Mohammad Balouchzahi","2018","http://link.springer.com/chapter/10.1007/978-3-030-01204-5_7","Chapter"
"Dual-Learning-Based Neural Machine Translation Using Undirected Sequence Model for Document Translation","Neural Information Processing","","","","10.1007/978-3-030-63820-7_73","Lei ZhangJianhua Xu","2020","http://link.springer.com/chapter/10.1007/978-3-030-63820-7_73","Chapter"
"Identifying Intensification Processes in Brazilian Sign Language in the Framework of Brazilian Portuguese Machine Translation","Computational Processing of the Portuguese Language","","","","10.1007/978-3-319-99722-3_21","Francisco Aulísio dos S. PaivaJosé Mario De MartinoPlínio A. BarbosaPablo P. F. FariaIvani R. SilvaLuciana A. Rosa","2018","http://link.springer.com/chapter/10.1007/978-3-319-99722-3_21","Chapter"
"Transformer-Based Unified Neural Network for Quality Estimation and Transformer-Based Re-decoding Model for Machine Translation","Machine Translation","","","","10.1007/978-981-33-6162-1_6","Cong ChenQinqin ZongQi LuoBailian QiuMaoxi Li","2020","http://link.springer.com/chapter/10.1007/978-981-33-6162-1_6","Chapter"
"Research on Semantic-Based Passive Transformation in Chinese-English Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-642-41644-6_32","Wenfei ChangZhiying LiuYaohong Jin","2013","http://link.springer.com/chapter/10.1007/978-3-642-41644-6_32","Chapter"
"Pretreatment for Speech Machine Translation","Computational Collective Intelligence. Technologies and Applications","","","","10.1007/978-3-642-16732-4_13","Xiaofei ZhangChong FengHeyan Huang","2010","http://link.springer.com/chapter/10.1007/978-3-642-16732-4_13","Chapter"
"Reliving the History: The Beginnings of Statistical Machine Translation and Languages with Rich Morphology","Advances in Natural Language Processing","","","","10.1007/978-3-642-14770-8_1","Jan Hajič","2010","http://link.springer.com/chapter/10.1007/978-3-642-14770-8_1","Chapter"
"A Speech-to-Speech, Machine Translation Mediated Map Task: An Exploratory Study","Future and Emergent Trends in Language Technology","","","","10.1007/978-3-319-33500-1_5","Loredana CerratoHayakawa AkiraNick CampbellSaturnino Luz","2016","http://link.springer.com/chapter/10.1007/978-3-319-33500-1_5","Chapter"
"Independent Fusion of Words and Image for Multimodal Machine Translation","Machine Translation","","","","10.1007/978-981-15-1721-1_4","Junteng MaShihao QinMinping ChenXia Li","2019","http://link.springer.com/chapter/10.1007/978-981-15-1721-1_4","Chapter"
"Neural Machine Translation Based on Improved Actor-Critic Method","Artificial Neural Networks and Machine Learning – ICANN 2020","","","","10.1007/978-3-030-61616-8_28","Ziyue GuoHongxu HouNier WuShuo Sun","2020","http://link.springer.com/chapter/10.1007/978-3-030-61616-8_28","Chapter"
"Asymmetric Hybrid Machine Translation for Languages with Scarce Resources","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-540-70939-8_35","Algirdas LaukaitisOlegas Vasilecas","2007","http://link.springer.com/chapter/10.1007/978-3-540-70939-8_35","Chapter"
"n-Best Reranking for the Efficient Integration of Word Sense Disambiguation and Statistical Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-540-78135-6_34","Lucia SpeciaBaskaran SankaranMaria das Graças Volpe Nunes","2008","http://link.springer.com/chapter/10.1007/978-3-540-78135-6_34","Chapter"
"Fast-Syntax-Matching-Based Japanese-Chinese Limited Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-75487-1_6","Wuying LiuLin WangXing Zhang","2018","http://link.springer.com/chapter/10.1007/978-3-319-75487-1_6","Chapter"
"A Machine Learning-Based Evaluation Method for Machine Translation","Artificial Intelligence: Theories, Models and Applications","","","","10.1007/978-3-642-12842-4_42","Katsunori KotaniTakehiko Yoshimi","2010","http://link.springer.com/chapter/10.1007/978-3-642-12842-4_42","Chapter"
"Using Machine Translation Systems to Expand a Corpus in Textual Entailment","Advances in Natural Language Processing","","","","10.1007/978-3-642-14770-8_12","Julio J. Castillo","2010","http://link.springer.com/chapter/10.1007/978-3-642-14770-8_12","Chapter"
"Domain Adaptation in Statistical Machine Translation Using Comparable Corpora: Case Study for English Latvian IT Localisation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-37256-8_19","Mārcis PinnisInguna SkadiņaAndrejs Vasiļjevs","2013","http://link.springer.com/chapter/10.1007/978-3-642-37256-8_19","Chapter"
"Reuse of Free Online MT Engines to Develop a Meta-system of Multilingual Machine Translation","Advances in Natural Language Processing","","","","10.1007/978-3-540-30228-5_27","Vo Trung Hung","2004","http://link.springer.com/chapter/10.1007/978-3-540-30228-5_27","Chapter"
"SisHiTra : A Hybrid Machine Translation System from Spanish to Catalan","Advances in Natural Language Processing","","","","10.1007/978-3-540-30228-5_31","José R. NavarroJorge GonzálezDavid PicóFrancisco CasacubertaJoan M. de ValFerran FabregatFerran PlaJesús Tomás","2004","http://link.springer.com/chapter/10.1007/978-3-540-30228-5_31","Chapter"
"Some Problems of Prepositional Phrases in Machine Translation","Advances in Natural Language Processing","","","","10.1007/11816508_59","Xiaohong WuSylviane CardeyPeter Greenfield","2006","http://link.springer.com/chapter/10.1007/11816508_59","Chapter"
"Sylviane Cardey, Peter Greenfield, Séverine Vienney (eds): Machine Translation, Controlled Languages and Specialised Languages","Machine Translation","","22","4","10.1007/s10590-009-9052-y","Iñaki AlegriaKepa Sarasola","2009","http://link.springer.com/article/10.1007/s10590-009-9052-y","Article"
"Character-Aware Low-Resource Neural Machine Translation with Weight Sharing and Pre-training","Chinese Computational Linguistics","","","","10.1007/978-3-030-32381-3_26","Yichao CaoMiao LiTao FengRujing Wang","2019","http://link.springer.com/chapter/10.1007/978-3-030-32381-3_26","Chapter"
"Sentence-Level Paraphrasing for Machine Translation System Combination","Social Computing","","","","10.1007/978-981-10-2053-7_54","Junguo ZhuMuyun YangSheng LiTiejun Zhao","2016","http://link.springer.com/chapter/10.1007/978-981-10-2053-7_54","Chapter"
"Spicing Up the Information Soup: Machine Translation and the Internet","Machine Translation and the Information Soup","","","","10.1007/3-540-49478-2_35","Steve McLaughlinUlrike Schwall","1998","http://link.springer.com/chapter/10.1007/3-540-49478-2_35","Chapter"
"Semantic Relatedness for All (Languages): A Comparative Analysis of Multilingual Semantic Relatedness Using Machine Translation","Knowledge Engineering and Knowledge Management","","","","10.1007/978-3-319-49004-5_14","André FreitasSiamak BarzegarJuliano Efson SalesSiegfried HandschuhBrian Davis","2016","http://link.springer.com/chapter/10.1007/978-3-319-49004-5_14","Chapter"
"Comparing and Integrating Alignment Template and Standard Phrase-Based Statistical Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-540-70939-8_37","Lin XuXiaoguang CaoBufeng ZhangMu Li","2007","http://link.springer.com/chapter/10.1007/978-3-540-70939-8_37","Chapter"
"Quality Estimation for English-Hungarian Machine Translation Systems with Optimized Semantic Features","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-75487-1_8","Zijian Győző YangLászló János LakiBorbála Siklósi","2018","http://link.springer.com/chapter/10.1007/978-3-319-75487-1_8","Chapter"
"Deyi Xiong and Min Zhang: Linguistically motivated statistical machine translation: models and algorithms","Machine Translation","","29","3 - 4","10.1007/s10590-015-9171-6","Vincent Vandeghinste","2015","http://link.springer.com/article/10.1007/s10590-015-9171-6","Article"
"Explicit Length Modelling for Statistical Machine Translation","Pattern Recognition and Image Analysis","","","","10.1007/978-3-642-21257-4_34","Joan Albert Silvestre-CerdàJesús Andrés-FerrerJorge Civera","2011","http://link.springer.com/chapter/10.1007/978-3-642-21257-4_34","Chapter"
"A Grammatical Analysis on Machine Translation Errors","Machine Translation","","","","10.1007/978-981-13-3083-4_1","Shili GeSusu WuXiaoxiao ChenRou Song","2019","http://link.springer.com/chapter/10.1007/978-981-13-3083-4_1","Chapter"
"Challenges in Machine Translation","Chinese Spoken Language Processing","","","","10.1007/11939993_3","Franz Josef Och","2006","http://link.springer.com/chapter/10.1007/11939993_3","Chapter"
"Pivot-Based Semantic Splicing for Neural Machine Translation","Machine Translation","","","","10.1007/978-981-10-3635-4_2","Di LiuConghui ZhuTiejun ZhaoXiaoxue WangMuyun Yang","2016","http://link.springer.com/chapter/10.1007/978-981-10-3635-4_2","Chapter"
