Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Way A.","16023406600;","A hybrid architecture for robust MT using LFG-DOP",1999,"Journal of Experimental and Theoretical Artificial Intelligence","11","3",,"441","471",,7,"10.1080/095281399146490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-22844456664&doi=10.1080%2f095281399146490&partnerID=40&md5=d6393c025e90df8bedaa8242929e8d5d","School of Computer Applications, Dublin City University, Dublin 9, Ireland","Way, A., School of Computer Applications, Dublin City University, Dublin 9, Ireland","We develop a model for machine translation (MT) based on data-oriented parsing (DOP) allied to the syntactic representations of lexical functional grammar (LFG). We begin by showing that in themselves, none of the main paradigmatic approaches to MT currently suffice to the standard required. Nevertheless, each of these approaches contains elements which if properly harnessed should lead to an overall improvement in translation performance. It is in this new hybrid spirit that our search for a better solution to the problems of MT can be seen. We summarize the original DOP model of Bod, as well as the DOT model of translation of Poutsma on which it is based. We demonstrate that DOT is not guaranteed to produce the correct translation, despite provably deriving the most probable translation. We go on to critically evaluate previous attempts at LFG-MT, commenting briefly on particular problem cases for such systems. We then show how the LFG-DOP model of Bod and Kaplan can be extended to serve as a novel hybrid model for MT which promises to improve upon DOT, as well as the pure LFG-based translation model. © 1999 Taylor & Francis Ltd.","Data-oriented parsing; Hybrid machine translation; Lexical functional grammar",,Article,"Final","",Scopus,2-s2.0-22844456664
"Nakaiwa H.","6603310316;","Automatic Extraction of Rules for Anaphora Resolution of Japanese Zero Pronouns in Japanese-English Machine Translation from Aligned Sentence Pairs",1999,"Machine Translation","14","3-4",,"247","279",,,"10.1023/a:1011181124507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033278410&doi=10.1023%2fa%3a1011181124507&partnerID=40&md5=bb9dc89233f3517fdbefe7de6571441a","NTT Commun. Science Laboratories, 2-4 Hikari-dai, Seika-cho, Soraku-gun, Kyoto, 619-0237, Japan","Nakaiwa, H., NTT Commun. Science Laboratories, 2-4 Hikari-dai, Seika-cho, Soraku-gun, Kyoto, 619-0237, Japan","This paper proposes a method to extract rules for the anaphora resolution of Japanese zero pronouns in Japanese-English MT from aligned sentence pairs. After aligned sentence pairs unsuitable for rule extraction because of analysis errors or free translations are automatically rejected, zero pronouns in the Japanese sentences and the English translation equivalents of their antecedents are extracted from the remaining Japanese and English aligned sentence pairs using ten hand-developed alignment rules. This method identifies all Japanese zero pronouns whose translation equivalents are not explicitly expressed in an English sentence, this method identifies these as unalignable. Then, resolution rules for the remaining zero pronouns are automatically extracted using the aligned pairs, equivalent word/phrase pairs extracted from the aligned sentence pairs, and the syntactic and semantic structures of the Japanese sentences. This method was implemented in a Japanese-English MT system, ALT-J/E. 98.4% of all pairs were automatically aligned correctly in a window test, and 94.0% in a blind test. Furthermore, extracted rules for zero pronouns with deictic references created automatically from sentence pairs correctly resolved 99.0% of the zero pronouns in a window test and 85.0% of the zero pronouns in a blind test.","Alignment; Anaphora resolution; Bilingual corpus; English; Japanese; MT; Rule extraction; Zero pronouns","Error analysis; Semantics; Syntactics; Machine resolution (MT); Computer aided language translation",Article,"Final","",Scopus,2-s2.0-0033278410
"Chan S.W.K., T'Sou B.K.","56303028700;6507762151;","Semantic Inference for Anaphora Resolution: Toward a Framework in Machine Translation",1999,"Machine Translation","14","3-4",,"163","190",,,"10.1023/a:1011138323599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033278320&doi=10.1023%2fa%3a1011138323599&partnerID=40&md5=62a8c7b22175b120795ac5d1085ceb8d","Dept. Decis. Sci. Managerial Econ., Chinese University of Hong Kong, Hong Kong, Hong Kong; Lang. Info. Sciences Research Centre, City University of Hong Kong, Hong Kong, Hong Kong","Chan, S.W.K., Dept. Decis. Sci. Managerial Econ., Chinese University of Hong Kong, Hong Kong, Hong Kong; T'Sou, B.K., Lang. Info. Sciences Research Centre, City University of Hong Kong, Hong Kong, Hong Kong","Anaphora is a discourse-level linguistic phenomenon. There is consensus that anaphora resolution should rely on prior sentences within the context of the discourse. We propose to cast anaphora resolution as a semantic inference process in which a combination of multiple strategies, each exploiting different aspects of linguistic knowledge, is employed to provide a coherent resolution of anaphora. A framework which encompasses several salient linguistic parameters such as grammatical role, proximity, repetition, sentence recency and semantic cues is demonstrated. This work also shows how an anaphora-resolution algorithm can be embedded within a framework which captures all the above salient parameters, as well as remedies some of the inadequacies found in any monolithic resolution system. A language-neutral semantic representation characterized by semantic cues is presented in order to capture the distilled information after resolution. The effectiveness of the language-neutral representation, both for machine translation and anaphora resolution, is demonstrated through a set of simulations and evaluations.","Anaphora resolution; Computational framework; Machine translation; Semantic inferences","Algorithms; Computational methods; Computer simulation; Semantics; Syntactics; Machine translation; Computer aided language translation",Article,"Final","",Scopus,2-s2.0-0033278320
"Feldman Y.A., Friedman D.A.","7005190887;7402079495;","Portability by automatic translation: A large-scale case study",1999,"Artificial Intelligence","107","1",,"1","28",,6,"10.1016/S0004-3702(98)00101-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032638823&doi=10.1016%2fS0004-3702%2898%2900101-5&partnerID=40&md5=303d272a86950e8d9db056b3ae238e33","Sch. of Computer and Media Sciences, Interdisciplinary Center, P.O. Box 167, 46150 Herzliya, Israel; Department of Computer Science, Tel Aviv University, 69978 Tel Aviv, Israel","Feldman, Y.A., Sch. of Computer and Media Sciences, Interdisciplinary Center, P.O. Box 167, 46150 Herzliya, Israel; Friedman, D.A., Department of Computer Science, Tel Aviv University, 69978 Tel Aviv, Israel","Many organizations today are facing the problem of software migration: porting existing code to new architectures and operating systems. In many cases, such legacy code is written in a mainframe-specific assembly language and needs to be translated to a high-level language in order to be run on different architectures. Our research addresses this problem in a large-scale, real-life case study. We built an automatic tool, called Bogart, that translates IBM 370 assembly language programs to C. Bogart is based on Artificial Intelligence tools and techniques such as the Plan Calculus, translation by abstraction and re-implementation, program transformations, constraint propagation, and pattern recognition. Bogart was tested on real legacy code of a large commercial application: a database system and application generator, the main product of Sapiens International, Ltd. Bogart is compared with the literal brute-force translator initially developed by Sapiens, and is found to be superior on all counts, including portability of the resulting code, the amount of manual preparation required, and code size and speed. The results are shown for several small examples as well as a typical module consisting of several thousand lines of code from the Sapiens application. Bogart also seems to be more comprehensive than other reengineering systems reported in the literature. Bogart's analysis technology has recently been applied with significant commercial success to the analysis and remediation of Year 2000 bugs. This study demonstrates that certain AI techniques can be carefully combined to create industrialstrength applications that solve acute problems of Software Engineering. The fact that the research was carried out in industry on a real test case also revealed some of the problems of this approach. One example is the higher development cost of the AI approach, and the further effort that will be needed in order to extend it. (On the other hand, the literal translator has reached the end of its road, and cannot be enhanced at all.) Another problem we discovered is the difficulty of debugging the code produced by Bogart. The literal translator preserved the structure of the original program, whereas Bogart abstracted the code in various ways. As a result, the original assembly-language programmers found it harder to debug Bogart's code. This reaffirms the need for an explanation facility in intelligent applications. © 1999 Elsevier Science B.V. All rights reserved.","Abstraction; Bogart; Portability; Re-implementation; Software migration; Transformation","Artificial intelligence; C (programming language); Database systems; Legacy systems; Program assemblers; Software migration; Program translators",Article,"Final","",Scopus,2-s2.0-0032638823
"Li Liwu","57202344624;","Semi-automatic approach to translating use cases to sequence diagrams",1999,"Proceedings of the Conference on Technology of Object-Oriented Languages and Systems, TOOLS",,,,"184","193",,14,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032591865&partnerID=40&md5=700f3b5e4d1b0514f95086e30a40765d","Univ of Windsor, Windsor, Canada","Li, Liwu, Univ of Windsor, Windsor, Canada","This paper presents a semi-automatic approach to translating the narrative descriptions of use cases to sequence diagrams. It presents rules for writing and rewriting use case descriptions that can be understood by both developers and domain experts and that can be translated mechanically to message sends, which are used to build sequence diagrams. The translation accommodates developer's instructions on how to translate some parts of a use case description while mechanically producing message records from the description. It deduces classes, objects, associations, attributes, and operations from use cases. A prototype of a use case translator that supports the approach is also reported here.",,"Computer aided software engineering; Program translators; Sequence diagrams; Use cases; Object oriented programming",Article,"Final","",Scopus,2-s2.0-0032591865
"Franz M., McCarley J.S.","7202533720;7003542180;","Machine translation and monolingual information retrieval",1999,"Proceedings of the 22nd Annual International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 1999",,,,"295","296",,2,"10.1145/312624.312725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874011672&doi=10.1145%2f312624.312725&partnerID=40&md5=1205e0eaaa0b7e4a769488672965817d","IBM T.J. Watson Research Center, P.O. Box 218, Yorktown Heights, NY  10598, United States","Franz, M., IBM T.J. Watson Research Center, P.O. Box 218, Yorktown Heights, NY  10598, United States; McCarley, J.S., IBM T.J. Watson Research Center, P.O. Box 218, Yorktown Heights, NY  10598, United States","Earlier investigation into cross-language information retrieval systems that incorporate both document and query translation has shown that incorporating document translation improves retrieval performance even for human-quality query translation. Thus we view monolingual retrieval as cross-language retrieval in which the queries have already been translated and propose the incorporation of document translation. Experiments on the TREC 6 and 7 ad hoc tasks [1, 2] yield modest improvements in performance. © 1999 ACM.",,"Computational linguistics; Information retrieval; Information retrieval systems; Linguistics; Translation (languages); Ad hoc tasks; Cross language information retrieval; Cross-language retrieval; Document translation; Machine translations; Monolingual information retrieval; Query translations; Retrieval performance; Search engines",Conference Paper,"Final","",Scopus,2-s2.0-84874011672
"JØrgensen S.W.","7202961812;","Is mt translation? reflections on a recent assault",1999,"Journal of Experimental and Theoretical Artificial Intelligence","11","4",,"531","541",,,"10.1080/095281399146409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0442281633&doi=10.1080%2f095281399146409&partnerID=40&md5=13136fb24dfd63232071bd9ae888f21c","Dept. of Computational Linguistics, Copenhagen Business School, Bernhard Bangs Allé 17B, Frederiksberg, DK-2000, Denmark","JØrgensen, S.W., Dept. of Computational Linguistics, Copenhagen Business School, Bernhard Bangs Allé 17B, Frederiksberg, DK-2000, Denmark","This essay discusses the claims made by Hofstadter (1997) that machine translation research, as a result of its commercial aims, is based on a ‘pure content’ view of language, which is unrealistic even for specialized domains. The paper argues that this simplified view of language and translation cannot be blamed solely on industrial research; it is a tenet of basic research MT as well, and one that MT shares with much of AI. The question of whether there is a fundamental difference between narrow domain and general translation is discussed in the light of Melby's (1995) notion of a ‘wall’ between terms and general vocabulary. © 1999 Taylor & Francis Group, LLC.","Machine translation; Natural language",,Article,"Final","",Scopus,2-s2.0-0442281633
"Dorr B.J., Jordan P.W., Benoit J.W.","35609548400;7202540763;56232515800;","A Survey of Current Paradigms in Machine Translation",1999,"Advances in Computers","49","C",,"1","68",,29,"10.1016/S0065-2458(08)60282-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957110113&doi=10.1016%2fS0065-2458%2808%2960282-X&partnerID=40&md5=8d5dc4bc8d299f146fb2bddeb017f9bf","Computer Science Department, University of Maryland, A.V. Williams Building, College Park, MD 20742, United States; Intelligent Systems Program University of Pittsburgh 901 Cathedral of Learning Pittsburgh, PA 15260, United States; Mitre Corporation Artificial Intelligence Center, 7525 Colshire Drive, McLean, VA 22102, United States","Dorr, B.J., Computer Science Department, University of Maryland, A.V. Williams Building, College Park, MD 20742, United States; Jordan, P.W., Intelligent Systems Program University of Pittsburgh 901 Cathedral of Learning Pittsburgh, PA 15260, United States; Benoit, J.W., Mitre Corporation Artificial Intelligence Center, 7525 Colshire Drive, McLean, VA 22102, United States","Abstract. This paper is a survey of the current machine translation research in the US, Europe and Japan. A short history of machine translation is presented first, followed by an overview of the current research work. Representative examples of a wide range of different approaches adopted by machine translation researchers are presented. These are described in detail along with a discussion of the practicalities of scaling up these approaches for operational environments. In support of this discussion, issues in, and techniques for, evaluating machine translation systems are addressed. © 1999 Academic Press Inc.",,,Article,"Final","",Scopus,2-s2.0-77957110113
"Xun E., Li S., Zhao T.","6506210169;36063951100;7402268377;","A new rules processing method based on decision tree in Machine Translation",1999,"High Technology Letters","5","2",,"36","39",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949665652&partnerID=40&md5=aa362157e1bb94c190ff16f38694e59b","Dept. of Computer Science, Harbin Institute of Technology, Harbin 150016, China","Xun, E., Dept. of Computer Science, Harbin Institute of Technology, Harbin 150016, China; Li, S., Dept. of Computer Science, Harbin Institute of Technology, Harbin 150016, China; Zhao, T., Dept. of Computer Science, Harbin Institute of Technology, Harbin 150016, China","This paper gives the representation of rules, the strategy of rule controlling and the existing problems in English-Chinese Machine Translation (MT) named BT863-I. Then it puts forward a method for processing these rules based on the decision tree. With this method, some problems such as rule conflic and rule redundancy occurring in BT863-I have been solved and the efficiency of MT system has been improved greatly. This method also has general meaning in the Rule-based expert system.","Decision tree; Machine translation; Rule",,Article,"Final","",Scopus,2-s2.0-77949665652
"Tenni J., Lehtola A., Bounsaythip C., Jaaranen K.","6506303876;7003891726;6508381964;6505493139;","Machine learning of language translation rules",1999,"Proceedings of the IEEE International Conference on Systems, Man and Cybernetics","5",,,"V","171 - V-177",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033333412&partnerID=40&md5=905e6f1a9d55060a20d5e19b0f6c9dac","VTT Information Technology, Espoo, Finland","Tenni, J., VTT Information Technology, Espoo, Finland; Lehtola, A., VTT Information Technology, Espoo, Finland; Bounsaythip, C., VTT Information Technology, Espoo, Finland; Jaaranen, K., VTT Information Technology, Espoo, Finland","The purpose of this paper is to present learning methods for creating language translation rules from multilingual text samples. The languages concerned are controlled languages, i.e. they are domain specific sublanguages with ambiguities eliminated by restricting the vocabulary and syntax. Learning methods presented here enable a supervised, human-assisted learning of generalised translation rules, thus making it faster and easier to adapt our machine translation system to new languages.",,"Computational linguistics; Computer aided language translation; Computer simulation; Text processing; Language translation rule; Multilingual text sample; Learning systems",Conference Paper,"Final","",Scopus,2-s2.0-0033333412
"Vilar J.M.","36003206800;","Improve the learning of subsequential transducers by using alignments and dictionaries",2000,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","1891",,,"298","311",,18,"10.1007/978-3-540-45257-7_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974739716&doi=10.1007%2f978-3-540-45257-7_24&partnerID=40&md5=a0a8ffbf4f3a3d06cd45648764dbe23c","Unidad Predepartamental de Informática, Universitat Jaume I, Castellón, E12071, Spain","Vilar, J.M., Unidad Predepartamental de Informática, Universitat Jaume I, Castellón, E12071, Spain","Subsequential transducers are finite state models that can be successfully employed in small to medium sized translation tasks. Among other advantages, they can be automatically inferred from training samples. We present a way of incorporating, in the inference algorithm, information that can be obtained by means of statistical translation models. © Springer-Verlag Berlin Heidelberg 2000.","Automatic translation; Learning in the limit; Statistical translation models; Subsequential transducers","Computational grammars; Transducers; Automatic translation; Finite-state models; Inference algorithm; Learning in the limit; Statistical translation model; Training sample; Inference engines",Conference Paper,"Final","",Scopus,2-s2.0-84974739716
"Figuerola C.G., Berrocal J.L.A., Rodríguez A.F.Z., Díaz R.G.","6507804737;7003377130;55259587600;36025201600;","Retrieval of bilingual Spanish-English information by means of a standard automatic translation system",2000,"CEUR Workshop Proceedings","1166",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961357978&partnerID=40&md5=a220596d08c9918cbb3f17fda75b55ce","Universidad de Salamanca, Facultad de Documentación, c/ Fco. De Vitoria 6-16, Salamanca, 37008, Spain","Figuerola, C.G., Universidad de Salamanca, Facultad de Documentación, c/ Fco. De Vitoria 6-16, Salamanca, 37008, Spain; Berrocal, J.L.A., Universidad de Salamanca, Facultad de Documentación, c/ Fco. De Vitoria 6-16, Salamanca, 37008, Spain; Rodríguez, A.F.Z., Universidad de Salamanca, Facultad de Documentación, c/ Fco. De Vitoria 6-16, Salamanca, 37008, Spain; Díaz, R.G., Universidad de Salamanca, Facultad de Documentación, c/ Fco. De Vitoria 6-16, Salamanca, 37008, Spain","This paper describes our participation in bilingual retrieval (queries in Spanish on documents in English), by means of an information retrieval system based on the vector model. The queries, formulated in Spanish, were translated into English by means of a commercial automatic translation system; the terms extracted from the resulting translations were filtered in order to get rid of empty words and then they were normalised by stemming. Results are poorer than those obtained through monolingual retrieval with the original queries in English slightly above 15%.",,"Digital libraries; Information retrieval; Automatic translation; Bilingual retrieval; Vector models; Search engines",Conference Paper,"Final","",Scopus,2-s2.0-84961357978
"Schulte W.","7102823689;","Translating theory into practice — abstract state machines within microsoft",2000,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","1862",,,"71","",,,"10.1007/3-540-44622-2_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959372595&doi=10.1007%2f3-540-44622-2_5&partnerID=40&md5=cf0fbe6a98060c0d1b139ccbd1451da9","Microsoft Research, One Microsoft Way, Redmond, WA  98052-6399, United States","Schulte, W., Microsoft Research, One Microsoft Way, Redmond, WA  98052-6399, United States",[No abstract available],,,Conference Paper,"Final","",Scopus,2-s2.0-84959372595
"Zhao Y., Ye X., Jia B.","35757271300;8511226800;57006139500;","An automatic translation from textual E-LOTOS into graphic E-LOTOS",2000,"International Conference on Communication Technology Proceedings, ICCT","2",, 890893,"1232","1235",,,"10.1109/ICCT.2000.890893","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950144393&doi=10.1109%2fICCT.2000.890893&partnerID=40&md5=4dd641f012256430cb302db096c75e04","College of Computer Science, Inner Mongolia University, Hohhot, 010021, China; Forge Factory, Inner Mongolia Autonomous Region, China","Zhao, Y., College of Computer Science, Inner Mongolia University, Hohhot, 010021, China; Ye, X., College of Computer Science, Inner Mongolia University, Hohhot, 010021, China; Jia, B., Forge Factory, Inner Mongolia Autonomous Region, China","E-LOTOS is an enhancement to standard LOTOS. The paper first presents a graphical version, called GE-LOTOS, of E-LOTOS. GE-LOTOS specifies a distributed system of interacting tasks in a tree-like structure similar to Microsoft's Windows Explorer. The second part of the paper develops an editing and compiling software tool which can automatically translate textual E-LOTOS into graphic E-LOTOS under Java Cafe environment. The software tool not only embodies E-LOTOS in the form of abstract level, but also can dynamically expand and overlap any subprocess or all subprocesses. And it can be used for protocol testing and verification. © 2000 IEEE.","Formal description technology (FDT); GE-LOTOS; Router information protocol","Abstract levels; Automatic translation; Distributed systems; Formal Description; Information protocols; Protocol testing; Tree-like structures; Windows explorer; Computer software",Conference Paper,"Final","",Scopus,2-s2.0-84950144393
"Müller-Olm M., Wolf A.","6602147502;57214473341;","On the translation of procedures to finite machines abstraction allows a clean proof",2000,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","1782",,,"290","304",,2,"10.1007/3-540-46425-5_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947258690&doi=10.1007%2f3-540-46425-5_19&partnerID=40&md5=640063ccff9daf76a96acbf2815577ad","Universität Dortmund, Fachbereich Informatik, LS V, Dortmund, 44221, Germany; Christian-Albrechts-Universität, Institut für Informatik und Praktische Mathematik, Olshausenstraße 40, Kiel, 24098, Germany","Müller-Olm, M., Universität Dortmund, Fachbereich Informatik, LS V, Dortmund, 44221, Germany; Wolf, A., Christian-Albrechts-Universität, Institut für Informatik und Praktische Mathematik, Olshausenstraße 40, Kiel, 24098, Germany","We prove the correctness of the translation of a prototypic While-language with nested, parameterless procedures to an abstract assembler language with finite stacks. A variant of the well-known wp and wlp predicate transformers, the weakest relative precondition transformer wrp, together with a symbolic approach for describing semantics of as- sembler code allows us to explore assembler programs in a manageable way and to ban finiteness from the scene early. © Springer-Verlag Berlin Heidelberg 2000.",,"Semantics; Parameter-less; Predicate transformers; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-84947258690
"Ung D., Cifuentes C.","8360043000;7003713782;","Machine-Adaptable dynamic binary translation",2000,"Proceedings of the ACM SIGPLAN Workshop on Dynamic and Adaptive Compilation and Optimization, DYNAMO 2000",,,,"41","51",,13,"10.1145/351397.351414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943373403&doi=10.1145%2f351397.351414&partnerID=40&md5=d5306271c7a61604d89c7e65adc281e5","Department of Computer Science and Electrical Engineering, University of QueenslandQLD, Australia","Ung, D., Department of Computer Science and Electrical Engineering, University of QueenslandQLD, Australia; Cifuentes, C., Department of Computer Science and Electrical Engineering, University of QueenslandQLD, Australia","Dynamic binary translation is the process of translating and optimizing executable code for one machine to another at runtime, while the program is ""executing"" on the target machine. Dynamic translation techniques have normally been limited to two particular machines; a competitors machine and the hardware manufacturer's machine. This research provides for a more general framework for dynamic translations, by providing a framework based on specifications of machines that can be reused or adapted to new hardware architectures. In this way, developers of such techniques can isolate design issues from machine descriptions and reuse many components and analyses. We describe our dynamic translation framework and provide some initial results obtained by using this system. © 2000 ACM.","Binary translation; Dynamic compilation; Dynamic execution; Emulation; Interpretation","Bins; Hardware; Interactive devices; Program translators; Binary translation; Dynamic compilation; Dynamic execution; Emulation; Interpretation; Machine components",Conference Paper,"Final","",Scopus,2-s2.0-84943373403
"Holland M., Schlesiger C., Tate C.","22334123100;6508100615;7103194722;","Evaluating embedded machine translation in military field exercises",2000,"Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science)","1934",,,"239","247",,1,"10.1007/3-540-39965-8_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943190958&doi=10.1007%2f3-540-39965-8_27&partnerID=40&md5=aec9dca58c0533d24919fb6aaaaaec20","Army Research Laboratory, 2800 Powder Mill Road, Adelphi, MD 20783, United States","Holland, M., Army Research Laboratory, 2800 Powder Mill Road, Adelphi, MD 20783, United States; Schlesiger, C., Army Research Laboratory, 2800 Powder Mill Road, Adelphi, MD 20783, United States; Tate, C., Army Research Laboratory, 2800 Powder Mill Road, Adelphi, MD 20783, United States","""Embedded"" machine translation (MT) refers to an end-to-end computational process of which MT is one of the components. Integrating these components and evaluating the whole has proved to be problematic. As an example of embedded MT, we describe a prototype system called Falcon, which permits paper documents to be scanned and translated into English. MT is thus embedded in the preprocessing of hardcopy pages and subject to its noise. Because Falcon is intended for use by people in the military who are trying to screen foreign documents, and not to understand them in detail, its application makes low demands on translation quality. We report on a series of user trials that speak to the utility of embedded MT in army tasks. © Springer-Verlag Berlin Heidelberg 2000.",,"Computational linguistics; Computer aided language translation; Computational process; Embedded machines; ITS applications; Machine translations; Military fields; Paper documents; Prototype system; Translation quality; Machine components",Article,"Final","",Scopus,2-s2.0-84943190958
"Carl M.","35877131200;","Combining invertible example-based machine translation with translation memory technology",2000,"Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science)","1934",,,"127","136",,,"10.1007/3-540-39965-8_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943186642&doi=10.1007%2f3-540-39965-8_13&partnerID=40&md5=c74ba1890e55a343cc79fdd876cddd20","Institut für Angewandte Informationsforschung, Martin-Luther-Straße 14, Saarbrücken, 66111, Germany","Carl, M., Institut für Angewandte Informationsforschung, Martin-Luther-Straße 14, Saarbrücken, 66111, Germany","This paper presents an approach to extract invertible translation examples from pre-aligned reference translations. The set of invertible translation examples is used in the Example-Based Machine Translation (EBMT) system EDGAR for translation. Invertible bilingual grammars eliminate translation ambiguities such that each source language parse tree maps into only one target language string. The translation results of EDGAR are compared and combined with those of a translation memory (TM). It is shown that i) best translation results are achieved for the EBMT system when using a bilingual lexicon to support the alignment process ii) TMs and EBMT-systems can be linked in a dynamical sequential manner and iii) the combined translation of TMs and EBMT is in any case better than each of the single system. © Springer-Verlag Berlin Heidelberg 2000.",,"Computational linguistics; Computer aided language translation; Natural language processing systems; Bilingual lexicons; Example based machine translations; Pre-aligned; Sequential manners; Source language; Target language; Translation ambiguities; Translation memory; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-84943186642
"Kim Y.S., Kim S.D., Park S.B., Lee J.W., Chang J.H., Hwang K.B., Mino J., Kim Y.T.","55669181800;7601600325;7501838676;57221622398;56143246000;10039817300;57040911200;7410205127;","Machine translation systems: E-K, K-E, J-K, K-J",2000,"Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science)","1934",,,"248","251",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943167097&partnerID=40&md5=5866461915a3809c2901d23347579138","Research Institute of Advanced Computer Technology, Seoul National University, Seoul, South Korea; School of Computer Science and Engineering, Seoul National University, Seoul, South Korea","Kim, Y.S., Research Institute of Advanced Computer Technology, Seoul National University, Seoul, South Korea; Kim, S.D., Research Institute of Advanced Computer Technology, Seoul National University, Seoul, South Korea; Park, S.B., School of Computer Science and Engineering, Seoul National University, Seoul, South Korea; Lee, J.W., School of Computer Science and Engineering, Seoul National University, Seoul, South Korea; Chang, J.H., School of Computer Science and Engineering, Seoul National University, Seoul, South Korea; Hwang, K.B., School of Computer Science and Engineering, Seoul National University, Seoul, South Korea; Mino, J., School of Computer Science and Engineering, Seoul National University, Seoul, South Korea; Kim, Y.T., School of Computer Science and Engineering, Seoul National University, Seoul, South Korea","We present four kinds of machine translation system in this description: E-K (English to Korean), K-E (Korean to English), J-K (Japanese to Korean), K-J (Korean to Japanese). Among these, E-K and K-J translation systems are published commercially, and the other systems have finished their development. This paper describes the structure and function of each system with figures and translation results. © Springer-Verlag Berlin Heidelberg 2000.",,"Computational linguistics; Machine translation systems; Translation systems; Computer aided language translation",Conference Paper,"Final","",Scopus,2-s2.0-84943167097
"Nyberg E., Mitamura T.","7004097831;7102365837;","The KANTOO machine translation environment",2000,"Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science)","1934",,,"192","195",,1,"10.1007/3-540-39965-8_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943153226&doi=10.1007%2f3-540-39965-8_20&partnerID=40&md5=52e9188185929986c6d7129dabd2b0a1","Language Technologies Institute, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA  15213, United States","Nyberg, E., Language Technologies Institute, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA  15213, United States; Mitamura, T., Language Technologies Institute, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA  15213, United States","In this paper we describe the KANTOO machine translation environment, a set of software services and tools for multilingual document production. KANTOO includes modules for source language analysis, target language generation, source terminology management, target terminology management, and knowledge source development. The KANTOO system represents a complete re-design and re-implementation of the KANT machine translation system. © Springer-Verlag Berlin Heidelberg 2000.",,"Computer aided language translation; Terminology; Translation (languages); Knowledge sources; Machine translation systems; Machine translations; Software services; Source language; Target language; Computational linguistics",Conference Paper,"Final","",Scopus,2-s2.0-84943153226
