Authors,Title,Year,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rudra Murthy, V., Kunchukuttan, A., Bhattacharyya, P.",Addressing word-order divergence in multilingual neural machine translation for extremely low resource languages,2019,3868,3873,6,5,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085568799&partnerID=40&md5=7c0b5a629b726c8c3fd6808e7b839298,Conference Paper,Scopus,2-s2.0-85085568799
"Ruiz, N., Bangalore, S., Chen, J.",Bootstrapping multilingual intent models via machine translation for dialog automation,2018,303,308,6,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85074939395&partnerID=40&md5=ee91eedbffa2b782bdf327934990c2d9,Conference Paper,Scopus,2-s2.0-85074939395
"Sabet, M.J., Negri, M., Turchi, M., Barbu, E.",An unsupervised method for automatic translation memory cleaning,2016,287,292,6,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85016607276&partnerID=40&md5=e0ba0ac3bf567d96c3d21700bdbe836e,Conference Paper,Scopus,2-s2.0-85016607276
"Sae-Tang, P., Prayote, A.",Japanese-Thai machine translation with generalized patterns,2012,987,992,6,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881164938&partnerID=40&md5=4bf842f20914edd7444e9534903ba78c,Conference Paper,Scopus,2-s2.0-84881164938
"Saini, S., Sahula, V.",Neural Machine Translation for English to Hindi,2018,25,30,6,11,10.1109/INFRKM.2018.8464781,https://www.scopus.com/inward/record.url?eid=2-s2.0-85054416552&partnerID=40&md5=266d2cda8c3007650ba4b6f4a5234585,Conference Paper,Scopus,2-s2.0-85054416552
"Saini, S., Sahula, V.",A survey of machine translation techniques and systems for Indian languages,2015,676,681,6,20,10.1109/CICT.2015.123,https://www.scopus.com/inward/record.url?eid=2-s2.0-84928122297&partnerID=40&md5=19a71163d95bd1a977eaa954e5cba476,Conference Paper,Scopus,2-s2.0-84928122297
"Saini, S., Sehgal, U., Sahula, V.",Relative clause based text simplification for improved English to Hindi translation,2015,1479,1484,6,2,10.1109/ICACCI.2015.7275821,https://www.scopus.com/inward/record.url?eid=2-s2.0-84946221159&partnerID=40&md5=d6f0d1f45e97eb3cf04965ae9abff4cc,Conference Paper,Scopus,2-s2.0-84946221159
"Sakai, T.",The use of external text data in cross-language information retrieval based on machine translation,2002,284,289,6,1,10.1109/ICSMC.2002.1175600,https://www.scopus.com/inward/record.url?eid=2-s2.0-0036968666&partnerID=40&md5=f954bd18b3e6e2d554e11c7395011802,Article,Scopus,2-s2.0-0036968666
"Sakai, T., Kumano, A., Manabe, T.",Generating transliteration rules for cross-language information retrieval from machine translation dictionaries,2002,290,295,6,4,10.1109/ICSMC.2002.1175601,https://www.scopus.com/inward/record.url?eid=2-s2.0-0036969353&partnerID=40&md5=0f00d68fa320d92718597b8d9e0c9d0a,Article,Scopus,2-s2.0-0036969353
"Salami, S., Shamsfard, M.",Monotonic filter for hierarchical translation models,2016,19,24,6,1,10.1109/ICCKE.2016.7802109,https://www.scopus.com/inward/record.url?eid=2-s2.0-85010961021&partnerID=40&md5=7c07dcd9a7729ba89d069c979036a51b,Conference Paper,Scopus,2-s2.0-85010961021
"Sangavi, G., Mrinalini, K., Vijayalakshmi, P.",Analysis on bilingual machine translation systems for English and Tamil,2016,245,250,6,4,10.1109/ICCPEIC.2016.7557203,https://www.scopus.com/inward/record.url?eid=2-s2.0-84992533041&partnerID=40&md5=0b056b99f0616ebea3edee0a7d8defea,Conference Paper,Scopus,2-s2.0-84992533041
"Santy, S., Dandapat, S., Choudhury, M., Bali, K.",INMT: Interactive neural machine translation prediction,2020,103,108,6,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85087449819&partnerID=40&md5=2f27a0fb7b96cf604e002625e1a3d8b6,Conference Paper,Scopus,2-s2.0-85087449819
"Sasayama, M., Ren, F., Kuroiwa, S.",Super-function based Japanese-english machine translation,2003,555,560,6,8,10.1109/NLPKE.2003.1275967,https://www.scopus.com/inward/record.url?eid=2-s2.0-78649259012&partnerID=40&md5=3ba1f9d41e2246e0cc90f6efa593f2d0,Conference Paper,Scopus,2-s2.0-78649259012
"Sato, M., Hishiyama, R.",An Analysis of Multi-language Simultaneous Display in the Translation System,2017,666,671,6,2,10.1109/COMPSAC.2017.50,https://www.scopus.com/inward/record.url?eid=2-s2.0-85032867789&partnerID=40&md5=58dd2195bfa16fa658d87b3323571c01,Conference Paper,Scopus,2-s2.0-85032867789
"Sefara, T.J., Zwane, S.G., Gama, N., Sibisi, H., Senoamadi, P.N., Marivate, V.",Transformer-based Machine Translation for Low-resourced Languages embedded with Language Identification,2021,127,132,6,,10.1109/ICTAS50802.2021.9394996,https://www.scopus.com/inward/record.url?eid=2-s2.0-85104618565&partnerID=40&md5=3a1fbfe547c949ab298d12e12c95785d,Conference Paper,Scopus,2-s2.0-85104618565
"Seljan, S., Dunder, I., Pavlovski, M.",Human quality evaluation of machine-translated poetry,2020,1040,1045,6,,10.23919/MIPRO48935.2020.9245436,https://www.scopus.com/inward/record.url?eid=2-s2.0-85097229180&partnerID=40&md5=9900666daf02ef7694a64ea2f1f8ac0b,Conference Paper,Scopus,2-s2.0-85097229180
"Sennrich, R., Haddow, B., Birch, A.",Controlling politeness in neural machine translation via side constraints,2016,35,40,6,55,10.18653/v1/n16-1005,https://www.scopus.com/inward/record.url?eid=2-s2.0-84994126363&partnerID=40&md5=904008190f290a969b105516aea55533,Conference Paper,Scopus,2-s2.0-84994126363
"Seo, Y.-A., Huang, Y., Hong, M., Choi, S.-K.","Treating ""hata""-construction in Korean-Chinese MT",2003,375,380,6,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-1442277834&partnerID=40&md5=bdc51990a038d5cc0651c8b49d6bf03e,Conference Paper,Scopus,2-s2.0-1442277834
"Shaalan, K., Hendam, A., Rafea, A.",Rapid development and deployment of bi-directional expert systems using machine translation technology,2012,1375,1380,6,4,10.1016/j.eswa.2011.08.019,https://www.scopus.com/inward/record.url?eid=2-s2.0-81855207551&partnerID=40&md5=e9e24d7078aa94ef800c722b0955fb30,Article,Scopus,2-s2.0-81855207551
"Shah, K., Ng, R.W.M., Bougares, F., Specia, L.",Investigating continuous space language models for machine translation quality estimation,2015,1073,1078,6,3,10.18653/v1/d15-1125,https://www.scopus.com/inward/record.url?eid=2-s2.0-84959917699&partnerID=40&md5=4e122a7b55fc5a9d88ea8a718c349f8a,Conference Paper,Scopus,2-s2.0-84959917699
"Sharma, M., Jain, M., Garg, M., Tripathi, M.M.",Evaluation of transformer model performance on a set of language pairs by varying standard parameters,2021,194,199,6,,10.1109/ICIPTM52218.2021.9388359,https://www.scopus.com/inward/record.url?eid=2-s2.0-85104401943&partnerID=40&md5=a768c1e1ff8f874cab4629838be002b5,Conference Paper,Scopus,2-s2.0-85104401943
"Shi, X., Knight, K.",Speeding up neural machine translation decoding by shrinking run-time vocabulary,2017,574,579,6,2,10.18653/v1/P17-2091,https://www.scopus.com/inward/record.url?eid=2-s2.0-85040597259&partnerID=40&md5=d9ab5a2bb7f95a7076d7a4a195ae7e46,Conference Paper,Scopus,2-s2.0-85040597259
"Shu, R., Nakayama, H.",Improving beam search by removing monotonic constraint for neural machine translation,2018,339,344,6,2,10.18653/v1/p18-2054,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063139437&partnerID=40&md5=6b62b6f13a084af4bbe565faf41414e2,Conference Paper,Scopus,2-s2.0-85063139437
"Siahbani, M., Sarkar, A.",Two improvements to left-to-right decoding for hierarchical phrase-based machine translation,2014,221,226,6,5,10.3115/v1/d14-1028,https://www.scopus.com/inward/record.url?eid=2-s2.0-84926040047&partnerID=40&md5=1d7612a99b448cdbe9917cbc005a157e,Conference Paper,Scopus,2-s2.0-84926040047
"Siahbani, M., Seraj, R.M., Sankaran, B., Sarkar, A.",Incremental translation using hierarchichal phrase-based translation system,2014,71,76,6,4,10.1109/SLT.2014.7078552,https://www.scopus.com/inward/record.url?eid=2-s2.0-84946691515&partnerID=40&md5=395d9a345335ddc88f06c40ac1424be6,Conference Paper,Scopus,2-s2.0-84946691515
"Simões, A., Almeida, J.J.",Combinatory examples extraction for machine translation,2006,27,32,6,3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-54249083300&partnerID=40&md5=b9646d75e219106a9413082bdf4754ff,Conference Paper,Scopus,2-s2.0-54249083300
"Sin, Y.M.S., Oo, T.M., Mo, H.M., Pa, W.P., Soe, K.M., Thu, Y.K.",UCSYNLP-Lab machine translation systems for WAT 2018,2018,1127,1132,6,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084956383&partnerID=40&md5=f751b4868008a1c039423bc782e5c80a,Conference Paper,Scopus,2-s2.0-85084956383
"Sindhu, D.V., Sagar, B.M.",Study on machine translation approaches for Indian languages and their challenges,2017,262,267,6,6,10.1109/ICEECCOT.2016.7955227,https://www.scopus.com/inward/record.url?eid=2-s2.0-85026317587&partnerID=40&md5=f29387968ec19b623ae27f97841183b3,Conference Paper,Scopus,2-s2.0-85026317587
"Singh, R., Paste, M., Shinde, N., Patel, H., Mishra, N.",Chatbot using TensorFlow for small Businesses,2018,1614,1619,6,10,10.1109/ICICCT.2018.8472998,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059837441&partnerID=40&md5=d297b34e303747f67768341d5ade7ba7,Conference Paper,Scopus,2-s2.0-85059837441
"Singh, S.P., Kumar, A., Sahu, P., Verma, P.",Syntax based machine translation using blended methodology,2017,242,247,6,,10.1109/NGCT.2016.7877422,https://www.scopus.com/inward/record.url?eid=2-s2.0-85017231584&partnerID=40&md5=6e0635e3670ade530b28b47e599b9f1f,Conference Paper,Scopus,2-s2.0-85017231584
"Sinha, R.M.K.",Translating opposing word-pairs with same initial character,2003,714,719,6,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-1642264752&partnerID=40&md5=8173fa1b7e7ed8577ba3c661e712579e,Conference Paper,Scopus,2-s2.0-1642264752
"Song, Y., Kit, C.",Does joint decoding really outperform cascade processing in English-to-Chinese transliteration generation? The role of syllabification,2010,3323,3328,6,1,10.1109/ICMLC.2010.5580674,https://www.scopus.com/inward/record.url?eid=2-s2.0-78149299108&partnerID=40&md5=10c1cd571fd16c02611fb4b491469b01,Conference Paper,Scopus,2-s2.0-78149299108
"Srithirath, A., Seresangtakul, P.",An approach to Lao-English rule based machine translation,2015,93,98,6,3,10.1109/KST.2015.7051459,https://www.scopus.com/inward/record.url?eid=2-s2.0-84925849976&partnerID=40&md5=3cc72fca8f88e699c6e99e51a996cc9a,Conference Paper,Scopus,2-s2.0-84925849976
"Stanovsky, G., Smith, N.A., Zettlemoyer, L.",Evaluating gender bias in machine translation,2020,1679,1684,6,12,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084060260&partnerID=40&md5=81fbf792e52bfc2553cb35868ad7030c,Conference Paper,Scopus,2-s2.0-85084060260
"Sudoh, K., Mori, S., Nagata, M.",Noise-aware character alignment for bootstrapping statistical machine transliteration from bilingual corpora,2013,204,209,6,3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84926285993&partnerID=40&md5=38831fb5318adc359fce87a7e8a172c1,Conference Paper,Scopus,2-s2.0-84926285993
"Sugandhi, R.S., Shekhar, R., Agarwal, T., Bedi, R.K., Wadhai, V.M.",Issues in parsing for Machine Aided Translation from English to Hindi,2011,754,759,6,5,10.1109/WICT.2011.6141341,https://www.scopus.com/inward/record.url?eid=2-s2.0-84857164588&partnerID=40&md5=7e88d761594b4f877582e64c3c47a19b,Conference Paper,Scopus,2-s2.0-84857164588
"Sun, X., Huang, D.",Nested template-based model for Chinese-Japanese machine translation,2011,161,166,6,,10.1109/CSE.2011.39,https://www.scopus.com/inward/record.url?eid=2-s2.0-81455142078&partnerID=40&md5=540938cc2851e5e9e10021a30cc64695,Conference Paper,Scopus,2-s2.0-81455142078
"Sunil, R., Jayan, V., Bhadran, V.K.",Preprocessors in NLP applications: In the context of English to Malayalam machine translation,2012,221,226,6,6,10.1109/INDCON.2012.6420619,https://www.scopus.com/inward/record.url?eid=2-s2.0-84874180193&partnerID=40&md5=2656dba0da31867ad3f6ca2d7f79c1c6,Conference Paper,Scopus,2-s2.0-84874180193
"Tan, L., Scarton, C., Specia, L., Van Genabith, J.",SAARSHEFF at SemEval-2016 task 1: Semantic textual similarity with machine translation evaluation metrics and (eXtreme) boosted tree ensembles,2016,628,633,6,2,10.18653/v1/s16-1095,https://www.scopus.com/inward/record.url?eid=2-s2.0-85035769236&partnerID=40&md5=a2635433f1615f6daac183a6812391d6,Conference Paper,Scopus,2-s2.0-85035769236
"Tan, M., Xia, T., Wang, S., Zhou, B.",A corpus level MIRA tuning strategy for machine translation,2013,851,856,6,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84926324254&partnerID=40&md5=5ce5fd2a30cd86dd8283215f64fe080b,Conference Paper,Scopus,2-s2.0-84926324254
"Tanaka, Y.",Example data for machine translation systems,2001,915,920,6,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-0035724661&partnerID=40&md5=0fa39157d6fa1faddbd871251d397821,Conference Paper,Scopus,2-s2.0-0035724661
"Terui, K., Hishiyama, R.",Multilingual case method system for cross-cultural analysis,2013,117,122,6,4,10.1109/CultureComputing.2013.28,https://www.scopus.com/inward/record.url?eid=2-s2.0-84893329313&partnerID=40&md5=c622cb3967e0a949a868b7049170a614,Conference Paper,Scopus,2-s2.0-84893329313
"Thompson, B., Knowles, R., Zhang, X., Khayrallah, H., Duh, K., Koehn, P.",Hablex: Human annotated bilingual lexicons for experiments in machine translation,2020,1382,1387,6,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084326376&partnerID=40&md5=c1ec0d6497f463771d6abaa19147010d,Conference Paper,Scopus,2-s2.0-85084326376
"Thu, Y.K., Finch, A., Sumita, E.",Interlocking phrases in phrase-based statistical machine translation,2016,1076,1081,6,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84994101836&partnerID=40&md5=e276f1b1a166e327534f9303262fea4a,Conference Paper,Scopus,2-s2.0-84994101836
"Tong, J., Zhang, J., Liu, Z.",Research and implementation of globalize JS in improving the level of machine translation,2019,297,302,6,,10.1145/3349341.3349420,https://www.scopus.com/inward/record.url?eid=2-s2.0-85073071211&partnerID=40&md5=bf7c064376c5482778e7b85e3db19206,Conference Paper,Scopus,2-s2.0-85073071211
"Tran, P., Dinh, D., LeT., T., Nguyen, T.",Handling organization name unknown word in Chinese-Vietnamese machine translation,2013,242,247,6,4,10.1109/RIVF.2013.6719901,https://www.scopus.com/inward/record.url?eid=2-s2.0-84894171880&partnerID=40&md5=fe5ca74e95cdf2cd1ba0d512f8074442,Conference Paper,Scopus,2-s2.0-84894171880
"Tsai, H.-L., Wang, H.-C.",Evaluating the effects of interface feedback in MT-embedded interactive translation,2015,2247,2252,6,,10.1145/2702613.2732773,https://www.scopus.com/inward/record.url?eid=2-s2.0-84954212663&partnerID=40&md5=ac743532dbe7d12d513ff62a60e15dbb,Conference Paper,Scopus,2-s2.0-84954212663
"Uchida, H.",Fujitsu machine translation system: ATLAS,1986,95,100,6,2,10.1016/0167-739X(86)90003-8,https://www.scopus.com/inward/record.url?eid=2-s2.0-0022724880&partnerID=40&md5=4820ecfc4ad6d7e468909e866bf0bfb0,Article,Scopus,2-s2.0-0022724880
"Udupa, R.U., Maji, H.K.",Theory of alignment generators and applications to statistical machine translation,2005,1142,1147,6,4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84880711561&partnerID=40&md5=127d8a827bc6022cc3f8525da341ff9f,Conference Paper,Scopus,2-s2.0-84880711561
"Uhler, R., Dave, N.",Smten: Automatic translation of high-level symbolic computations into SMT queries,2013,678,683,6,4,10.1007/978-3-642-39799-8_45,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881143113&partnerID=40&md5=6eef7171694392b53c7c7c5f04bc59d3,Conference Paper,Scopus,2-s2.0-84881143113
"Vahid, A.H., Arora, P., Liu, Q., Jones, G.J.F.",A comparative study of online translation services for cross language information retrieval,2015,859,864,6,4,10.1145/2740908.2743008,https://www.scopus.com/inward/record.url?eid=2-s2.0-84968538152&partnerID=40&md5=deea10d235bd099aec345dd3e3ed9fbf,Conference Paper,Scopus,2-s2.0-84968538152
"Valavani, C., Alexandris, C., Mikros, G.",Improving machine translation output of german compound and multiword financial terms,2020,276,281,6,,10.1007/978-3-030-39512-4_44,https://www.scopus.com/inward/record.url?eid=2-s2.0-85081938379&partnerID=40&md5=ae9081e90b1c50ec14c09e65099fe314,Conference Paper,Scopus,2-s2.0-85081938379
"Vanmassenhove, E., Hardmeier, C., Way, A.",Getting gender right in neural machine translation,2020,3003,3008,6,17,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85069530738&partnerID=40&md5=db2ff1fc334f90f289690b8f9e5649fe,Conference Paper,Scopus,2-s2.0-85069530738
"Váradi, T.",Rule-based partial MT using enhanced finite-state grammars in NooJ,2007,376,381,6,,10.1007/978-3-540-73351-5_33,https://www.scopus.com/inward/record.url?eid=2-s2.0-38349065098&partnerID=40&md5=4c58b3833bd3a17aaed7b68b3867788d,Conference Paper,Scopus,2-s2.0-38349065098
"Veka, A., Yakubovich, Y.",Automatic translation from Belarusian into Spanish based on using Nooj’s linguistic resources,2016,202,207,6,,10.1007/978-3-319-42471-2_18,https://www.scopus.com/inward/record.url?eid=2-s2.0-84978802701&partnerID=40&md5=a437a085aa3a87dd1cdc9187ad99b73a,Conference Paper,Scopus,2-s2.0-84978802701
"Vijayanand, K., Choudhury, S.I., Ratna, P.",VAASAANUBAADA: Automatic machine translation of bilingual Bengali-Assamese news texts,2002,183,188,6,7,10.1109/LEC.2002.1182307,https://www.scopus.com/inward/record.url?eid=2-s2.0-84961837672&partnerID=40&md5=40ec62c553da9b2ebad9ae0f90952fcd,Conference Paper,Scopus,2-s2.0-84961837672
"Villanueva, A., Balongcas, R., Baltazar, A.J., Rosete, B.E., Roxas, K.O., Barrios, J.R., Venal, M.C.",Mobile-based translation system for cebuano language with object detection for travel assistance using neural machine translation,2019,523,528,6,,10.1109/ICOIACT46704.2019.8938565,https://www.scopus.com/inward/record.url?eid=2-s2.0-85077953546&partnerID=40&md5=c93de37bc3f2b4c432a0ba4c32b4cbef,Conference Paper,Scopus,2-s2.0-85077953546
"Vu, T.-T., Haffari, G.",Automatic post-editing of machine translation: A neural programmer-interpreter approach,2020,3048,3053,6,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063727653&partnerID=40&md5=6ae9b51fd108765146b6bd42249d5238,Conference Paper,Scopus,2-s2.0-85063727653
"Wang, L., Tu, M., Zhai, M., Wang, H., Liu, S., Kim, S.H.",Neural Machine Translation Strategies for Generating Honorific-style Korean,2019,450,455,6,,10.1109/IALP48816.2019.9037681,https://www.scopus.com/inward/record.url?eid=2-s2.0-85083273872&partnerID=40&md5=3ca9608fa0dfd7970a4a2d303763a1ea,Conference Paper,Scopus,2-s2.0-85083273872
"Wang, L., Tu, Z., Way, A., Liu, Q.",Exploiting cross-sentence context for neural machine translation,2017,2826,2831,6,35,10.18653/v1/d17-1301,https://www.scopus.com/inward/record.url?eid=2-s2.0-85060443616&partnerID=40&md5=3e4df92eb899bfa6ea33006d6055c6cb,Conference Paper,Scopus,2-s2.0-85060443616
"Wang, W., Zhu, D., Alkhouli, T., Gan, Z., Ney, H.",Neural hidden markov model for machine translation,2018,377,382,6,6,10.18653/v1/p18-2060,https://www.scopus.com/inward/record.url?eid=2-s2.0-85063155342&partnerID=40&md5=e4b30664517fe412570b9493daa77f28,Conference Paper,Scopus,2-s2.0-85063155342
"Wang, X., Neubig, G.",Target conditioned sampling: Optimizing data selection for multilingual neural machine translation,2020,5823,5828,6,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084090560&partnerID=40&md5=250b31f88e2c162b84e284f521568b53,Conference Paper,Scopus,2-s2.0-85084090560
"Wang, X., Pham, H., Dai, Z., Neubig, G.",Switchout: An efficient data augmentation algorithm for neural machine translation,2020,856,861,6,9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85078724481&partnerID=40&md5=2b1586b5152fbf9131ff1d52bd837a48,Conference Paper,Scopus,2-s2.0-85078724481
"Wang, X., Pham, H., Yin, P., Neubig, G.",A tree-based decoder for neural machine translation,2020,4772,4777,6,10,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85081739873&partnerID=40&md5=93de9078f7d241e8d6c59f9d6d1c641d,Conference Paper,Scopus,2-s2.0-85081739873
"Wang, X., Utiyama, M., Sumita, E.",CytonMT: An efficient neural machine translation open-source toolkit implemented in C++,2018,133,138,6,2,10.18653/v1/d18-2023,https://www.scopus.com/inward/record.url?eid=2-s2.0-85072958967&partnerID=40&md5=269f2aebaac8dc4bad5edafde2ff5f8c,Conference Paper,Scopus,2-s2.0-85072958967
"Wang, Y., Zhang, F.",A chunk-based multi-strategy machine translation method,2019,337,342,6,,10.1007/978-3-030-03766-6_38,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059307355&partnerID=40&md5=9c18643e78b2f38cf8a1d6a06205f69a,Conference Paper,Scopus,2-s2.0-85059307355
"Wibowo, H.A., Prawiro, T.A., Ihsan, M., Aji, A.F., Prasojo, R.E., Mahendra, R., Fitriany, S.",Semi-Supervised Low-Resource Style Transfer of Indonesian Informal to Formal Language with Iterative Forward-Translation,2020,310,315,6,,10.1109/IALP51396.2020.9310459,https://www.scopus.com/inward/record.url?eid=2-s2.0-85099879403&partnerID=40&md5=e44089b3408c7448be826870b063e071,Conference Paper,Scopus,2-s2.0-85099879403
"Wicentowski, R., Kelly, M., Lee, R.","Swat: Cross-lingual lexical substitution using local context matching, bilingual dictionaries and machine translation",2010,123,128,6,3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84883452502&partnerID=40&md5=9cc76894f3c63f7d3dc85390a71a7ea9,Conference Paper,Scopus,2-s2.0-84883452502
"Winiwarter, W.",Machine translation using corpus-based acquisition of transfer rules,2007,345,350,6,,10.1109/ICDIM.2007.4444247,https://www.scopus.com/inward/record.url?eid=2-s2.0-50149090247&partnerID=40&md5=d57bdde14cf5d6e9119f5d3c54af5693,Conference Paper,Scopus,2-s2.0-50149090247
"Wloka, B., Winiwarter, W.",TREF - Translation enhancement framework for Japanese-English,2010,541,546,6,3,10.1109/imcsit.2010.5679926,https://www.scopus.com/inward/record.url?eid=2-s2.0-79551573182&partnerID=40&md5=14dd741f260a573e3cdaeea2454533ea,Conference Paper,Scopus,2-s2.0-79551573182
"Wu, L., Wang, Y., Xia, Y., Tian, F., Gao, F., Qin, T., Lai, J., Liu, T.-Y.",Depth growing for neural machine translation,2020,5558,5563,6,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084090182&partnerID=40&md5=3a26502eb93041193c6fa4447841790e,Conference Paper,Scopus,2-s2.0-85084090182
"Wu, T., He, Z., Chen, E., Wang, H.",Improving Neural Machine Translation with Neural Sentence Rewriting,2019,147,152,6,1,10.1109/IALP.2018.8629254,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062769999&partnerID=40&md5=4899c335c60da817f277829532100623,Conference Paper,Scopus,2-s2.0-85062769999
"Wuebker, J., Simianer, P., DeNero, J.",Compact personalized models for neural machine translation,2020,881,886,6,5,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85077835552&partnerID=40&md5=2425c8cea93a213cc0b551355c687844,Conference Paper,Scopus,2-s2.0-85077835552
"Xia, L., Yamashita, N., Ishida, T.",Analysis on multilingual discussion for Wikipedia translation,2011,104,109,6,4,10.1109/Culture-Computing.2011.27,https://www.scopus.com/inward/record.url?eid=2-s2.0-84855785106&partnerID=40&md5=60d31b2f1eace0ff4de5e8beb4ac5262,Conference Paper,Scopus,2-s2.0-84855785106
"Xiong, J., Gao, F., Liu, Y., Li, Q.",Research on oracle bone Inscriptions machine translation based on example,2012,291,296,6,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84864347772&partnerID=40&md5=029877c685807b68475955bfd719e452,Article,Scopus,2-s2.0-84864347772
"Xu, X., Kuang, S., Xiong, D.",Two Effective Approaches to Data Reduction for Neural Machine Translation: Static and Dynamic Sentence Selection,2019,159,164,6,,10.1109/IALP.2018.8629243,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062768916&partnerID=40&md5=a219c5992cdf9ca854407e67a2282d79,Conference Paper,Scopus,2-s2.0-85062768916
"Yadav, A.A., Garg, I., Mathur, P.",PACT - Programming assistant ChaTbot,2019,131,136,6,,10.1109/ICCT46177.2019.8969070,https://www.scopus.com/inward/record.url?eid=2-s2.0-85079290729&partnerID=40&md5=8f7a4a8e4ce91080f478c6e4daadda42,Conference Paper,Scopus,2-s2.0-85079290729
"Yamabana, K., Kamei, S.-I., Muraki, K., Doi, S., Tamura, S., Satoh, K.","A hybrid approach to interactive machine translation: Integrating rule-based, corpus-based, and example-based method",1997,977,982,6,4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84880688084&partnerID=40&md5=130a604b8324221c7624e22251059d2f,Conference Paper,Scopus,2-s2.0-84880688084
"Yang, Y., Huang, L., Ma, M.",Breaking the beam search curse: A study of (re-)scoring methods and stopping criteria for neural machine translation,2020,3054,3059,6,4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85080590804&partnerID=40&md5=70630153e811df8511aa1dbafbd7d3c1,Conference Paper,Scopus,2-s2.0-85080590804
"Yang, Z., Chen, L., Nguyen, M.L.",Regularizing Forward and Backward Decoding to Improve Neural Machine Translation,2018,73,78,6,1,10.1109/KSE.2018.8573433,https://www.scopus.com/inward/record.url?eid=2-s2.0-85060372728&partnerID=40&md5=63f0aa9ae7474f73193cc28ad5232530,Conference Paper,Scopus,2-s2.0-85060372728
"Yang, Z., Chen, W., Wang, F., Xu, B.",Unsupervised Domain Adaptation for Neural Machine Translation,2018,338,343,6,,10.1109/ICPR.2018.8546053,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059746931&partnerID=40&md5=1f59e991b6ef26d9ef42991877aed528,Conference Paper,Scopus,2-s2.0-85059746931
"Yang, Z., Cheng, Y., Liu, Y., Sun, M.",Reducing word omission errors in neural machine translation: A contrastive learning approach,2020,6191,6196,6,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084035022&partnerID=40&md5=c49af3542e1c1cd22d8476c4427eccd5,Conference Paper,Scopus,2-s2.0-85084035022
"Yasuoka, M., Bjørn, P.",Machine translation effect on communication: What makes it difficult to communicate through machine translation?,2011,110,115,6,,10.1109/Culture-Computing.2011.28,https://www.scopus.com/inward/record.url?eid=2-s2.0-84855778414&partnerID=40&md5=551e008603b476a99f3db7db4d593834,Conference Paper,Scopus,2-s2.0-84855778414
"Yee, K., Dauphin, Y.N., Auli, M.",Simple and effective noisy channel modeling for neural machine translation,2020,5696,5701,6,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084318952&partnerID=40&md5=0cc9ccfb15addb01f4eab2aba221a29b,Conference Paper,Scopus,2-s2.0-85084318952
"Yin, D., Shao, M., Jiang, P., Ren, F., Kuroiwa, S.",Rule-based translation of quantifiers for Chinese-Japanese machine translation,2006,2031,2036,6,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-33746912638&partnerID=40&md5=9b53f50192e6f54d61b3711a2e008adb,Article,Scopus,2-s2.0-33746912638
"Yin, D., Shao, M., Jiang, P., Ren, F., Kuroiwa, S.",Treatment of quantifiers in Chinese-Japanese machine translation,2006,930,935,6,2,10.1007/978-3-540-37275-2_117,https://www.scopus.com/inward/record.url?eid=2-s2.0-33749549943&partnerID=40&md5=5745cea1ddd0502f22fd1ee695fbdf6e,Conference Paper,Scopus,2-s2.0-33749549943
