"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluating Open-source Toolkits for Automatic Speech Recognition of South African Languages","A. Naidoo; M. Tsoeu","Dept. of Electrical Engineering, University of Cape Town, Cape Town, South Africa; Dept. of Electrical Engineering, University of Cape Town, Cape Town, South Africa","2019 Southern African Universities Power Engineering Conference/Robotics and Mechatronics/Pattern Recognition Association of South Africa (SAUPEC/RobMech/PRASA)","2 May 2019","2019","","","160","165","Automatic speech recognition is a critical component of human language technologies. It concerns the translation of speech into textual data which can be processed by computers. Thus, it offers the creation of an intimate link allowing humans to interact with machines on a completely natural level. A variety of open-source toolkits exist for the development of these systems. These toolkits have been successfully implemented and tested for use on well-resourced languages. However, the same level of testing has not been performed for South African languages. This investigation sets out to evaluate popular open-source tools for South African languages and identify optimal toolkit configurations for each language and toolkit. The NCHLT corpora were used to set up automatic speech recognition systems for English and isiXhosa using Kaldi, CMU Sphinx, and HTK. The word error rates achieved during this investigation showed that the best configurations from this investigation achieved better performance than those which were reported by the developers of the NCHLT corpus.","","978-1-7281-0369-3","10.1109/RoboMech.2019.8704774","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8704774","automatic speech recognition;under-resourced;evaluation;languages;isiXhosa;English","Hidden Markov models;Acoustics;Tools;Feature extraction;Decoding;Open source software;Speech recognition","natural language processing;public domain software;speech recognition","open-source toolkits;South African languages;human language technologies;completely natural level;well-resourced languages;open-source tools;optimal toolkit configurations;automatic speech recognition systems;NCHLT corpora;isiXhosa;Kaldi;CMU Sphinx;HTK","","","","13","","2 May 2019","","","IEEE","IEEE Conferences"
"Multi-Instrument Automatic Music Transcription With Self-Attention-Based Instance Segmentation","Y. -T. Wu; B. Chen; L. Su","Department of Computer Science and Information Engineering, National Taiwan Normal University, Taiepi, Taiwan; Department of Computer Science and Information Engineering, National Taiwan Normal University, Taiepi, Taiwan; Institute of Information Science, Academia Sinica, Taipei, Taiwan","IEEE/ACM Transactions on Audio, Speech, and Language Processing","27 Oct 2020","2020","28","","2796","2809","Multi-instrument automatic music transcription (AMT) is a critical but less investigated problem in the field of music information retrieval (MIR). With all the difficulties faced by traditional AMT research, multi-instrument AMT needs further investigation on high-level music semantic modeling, efficient training methods for multiple attributes, and a clear problem scenario for system performance evaluation. In this article, we propose a multi-instrument AMT method, with signal processing techniques specifying pitch saliency, novel deep learning techniques, and concepts partly inspired by multi-object recognition, instance segmentation, and image-to-image translation in computer vision. The proposed method is flexible for all the sub-tasks in multi-instrument AMT, including multi-instrument note tracking, a task that has rarely been investigated before. State-of-the-art performance is also reported in the sub-task of multi-pitch streaming.","2329-9304","","10.1109/TASLP.2020.3030482","MOST Taiwan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222310","Automatic music transcription;deep learning;multi-pitch estimation;multi-pitch streaming;self-attention","Instruments;Task analysis;Music;Multiple signal classification;Hidden Markov models;Speech processing;Deep learning","computer vision;image segmentation;information retrieval;learning (artificial intelligence);music;object recognition","MIR;self-attention-based instance segmentation;multiinstrument automatic music transcription;multipitch streaming;multiinstrument note tracking;multiobject recognition;multiinstrument AMT method;training methods;traditional AMT research;music information retrieval","","","","67","IEEE","13 Oct 2020","","","IEEE","IEEE Journals"
"Automatic Spelling Correction for ASR Corpus in Traditional Chinese Language using Seq2Seq Models","Y. -C. Chao; C. -H. Chang","National Central University,Computer Science & Information Engineering,Taiwan; National Central University,Computer Science & Information Engineering,Taiwan","2020 International Computer Symposium (ICS)","23 Feb 2021","2020","","","553","558","The goal of Automatic Speech Recognition (ASR) service is to translate spoken language into text. There exist many factors that will degrade the performance of the ASR system, such as environmental noise, human pronunciation, etc. This research focuses on automatic spelling correction for traditional Chinese corpus generated by ASR systems. We show that a Sequence to Sequence (Seq2Seq) neural network model with attention mechanism could be improved by adding pointer network with auxiliary phoneme features of the input word sequence.","","978-1-7281-9255-0","10.1109/ICS51289.2020.00113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359053","automatic speech recognition, spelling check, sequence to sequence model, pointer network","Integrated circuits;Working environment noise;Neural networks;Training data;Computer architecture;Data models;Task analysis","natural language processing;neural nets;speech recognition","automatic spelling correction;ASR corpus;Chinese language;Seq2Seq models;Automatic Speech Recognition service;spoken language;ASR system;environmental noise;human pronunciation;Chinese corpus;sequence to sequence neural network model;auxiliary phoneme features;input word sequence","","","","9","","23 Feb 2021","","","IEEE","IEEE Conferences"
"Unsupervised vocabulary selection for real-time speech recognition of lectures","P. Maergner; A. Waibel; I. Lane","Carnegie Mellon University, USA; Carnegie Mellon University, USA; Carnegie Mellon University, USA","2012 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","30 Aug 2012","2012","","","4417","4420","In this work, we propose a novel method for vocabulary selection to automatically adapt automatic speech recognition systems to the diverse topics that occur in educational and scientific lectures. Utilizing materials that are available before the lecture begins, such as lecture slides, our proposed framework iteratively searches for related documents on the web and generates a lecture-specific vocabulary based on the resulting documents. In this paper, we propose a novel method for vocabulary selection where we first collect documents similar to an initial seed document and then rank the resulting vocabulary based on a score which is calculated using a combination of word features. This is a critical component for adaptation that has typically been overlooked in prior works. On the inter ACT German-English simultaneous lecture translation system our proposed approach significantly improved vocabulary coverage, reducing the out-of-vocabulary rate, on average by 57.0% and up to 84.9%, compared to a lecture-independent baseline. Furthermore, our approach reduced the word error rate, by 12.5% on average and up to 25.3%, compared to a lecture-independent baseline.","2379-190X","978-1-4673-0046-9","10.1109/ICASSP.2012.6288899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6288899","Vocabulary selection;automatic speech recognition;language model adaptation","Vocabulary;Adaptation models;Real time systems;Speech;Accuracy;Automatic speech recognition","educational administrative data processing;natural languages;speech recognition;vocabulary","unsupervised vocabulary selection;real-time speech recognition;automatic speech recognition systems;educational lectures;scientific lectures;lecture-specific vocabulary;ACT German-English simultaneous lecture translation system;lecture-independent baseline","","7","","7","","30 Aug 2012","","","IEEE","IEEE Conferences"
"HAIRIS: A Method for Automatic Image Registration Through Histogram-Based Image Segmentation","H. Gonçalves; J. A. Gonçalves; L. Corte-Real","Departamento de Geociências, Ambiente e Ordenamento do Território, Faculdade de Ciências, Universidade do Porto, Porto, Portugal; Departamento de Geociências, Ambiente e Ordenamento do Território, Faculdade de Ciências, Universidade do Porto, Porto, Portugal; Departamento de Engenharia Electrotécnica e de Computadores, Faculdade de Engenharia, Universidade do Porto","IEEE Transactions on Image Processing","14 Feb 2011","2011","20","3","776","789","Automatic image registration is still an actual challenge in several fields. Although several methods for automatic image registration have been proposed in the last few years, it is still far from a broad use in several applications, such as in remote sensing. In this paper, a method for automatic image registration through histogram-based image segmentation (HAIRIS) is proposed. This new approach mainly consists in combining several segmentations of the pair of images to be registered, according to a relaxation parameter on the histogram modes delineation (which itself is a new approach), followed by a consistent characterization of the extracted objects-through the objects area, ratio between the axis of the adjust ellipse, perimeter and fractal dimension-and a robust statistical based procedure for objects matching. The application of the proposed methodology is illustrated to simulated rotation and translation. The first dataset consists in a photograph and a rotated and shifted version of the same photograph, with different levels of added noise. It was also applied to a pair of satellite images with different spectral content and simulated translation, and to real remote sensing examples comprising different viewing angles, different acquisition dates and different sensors. An accuracy below 1° for rotation and at the subpixel level for translation were obtained, for the most part of the considered situations. HAIRIS allows for the registration of pairs of images (multitemporal and multisensor) with differences in rotation and translation, with small differences in the spectral content, leading to a subpixel accuracy.","1941-0042","","10.1109/TIP.2010.2076298","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5570999","Histogram;image registration;image segmentation;matching;Wiener filtering","Image segmentation;Image registration;Remote sensing;Histograms;Satellites;Noise;Degradation","image registration;image segmentation;object detection;remote sensing;statistical analysis","automatic image registration;histogram-based image segmentation;relaxation parameter;histogram modes delineation;object area;fractal dimension;statistical procedure;object matching;rotation;translation;photograph;added noise;satellite images;remote sensing;viewing angles;acquisition dates;sensors;HAIRIS;spectral content;subpixel accuracy","","47","","45","","13 Sep 2010","","","IEEE","IEEE Journals"
"Rule-Based Pronunciation Models to Handle OOV Words for Indonesian Automatic Speech Recognition System","F. Y. Putri; D. Hoesen; D. P. Lestari","Prosa.ai,Bandung,Indonesia; Prosa.ai,Bandung,Indonesia; Institut Teknologi Bandung,Department of Informatics,Bandung,Indonesia","2019 5th International Conference on Science in Information Technology (ICSITech)","10 Feb 2020","2019","","","246","251","A representative pronunciation dictionary becomes a necessity to cover large vocabulary in many domains. While creating a hand designed pronunciation dictionary in an extensive corpus is expensive and time-consuming, a rule-based pronunciation generation method is considerably effective to be applied in Indonesian language due to simpler graphemetophoneme mapping. In this paper, we propose a rule based G2P translation including an efficient way to handle abbreviation and word splitting. The accuracy of the proposed G2P translation achieved 93.65% for Indonesian word entries, and 87.29% for the overall entries that contain abbreviation and words from other language. The addition of rule based G2P translated OOV words to the dictionary has comparable speech recognition system performance with the hand designed dictionary. With the same amount of OOV addition, the speech recognition system performance is reduced by only 0.27 percent when using the rule-based G2P translated dictionary compared to the hand designed dictionary. From the experiment results, generating a dictionary for the OOV words with the proposed G2P mapping is considerably efficient without a big gap in the speech recognition performance score while reducing great amount of time and resources.","","978-1-7281-2380-6","10.1109/ICSITech46713.2019.8987472","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8987472","pronunciation dictionary;rule-based;Indonesian;OOV;ASR","","dictionaries;natural language processing;speech recognition;vocabulary","graphemetophoneme mapping;OOV addition;comparable speech recognition system performance;Indonesian word entries;word splitting;abbreviation;Indonesian language;rule-based pronunciation generation method;extensive corpus;hand designed pronunciation dictionary;representative pronunciation dictionary;Indonesian automatic speech recognition system;rule-based pronunciation models;speech recognition performance score;OOV words;hand designed dictionary;rule-based G2P translated dictionary","","","","12","","10 Feb 2020","","","IEEE","IEEE Conferences"
"Mechatronic Implementation and Trajectory Tracking Validation of a BCI-based Human-wheelchair Interface","J. -W. Chen; C. -J. Wu; Y. -T. Lin; Y. -C. Kuo; C. -H. Kuo","National Taiwan University of Science and Technology,Department of Electrical Engineering,Taipei,Taiwan,106; National Taiwan University of Science and Technology,Department of Electrical Engineering,Taipei,Taiwan,106; National Taiwan University of Science and Technology,Department of Electrical Engineering,Taipei,Taiwan,106; National Taiwan University of Science and Technology,Department of Electrical Engineering,Taipei,Taiwan,106; National Taiwan University of Science and Technology,Department of Electrical Engineering,Taipei,Taiwan,106","2020 8th IEEE RAS/EMBS International Conference for Biomedical Robotics and Biomechatronics (BioRob)","15 Oct 2020","2020","","","304","309","This paper presents a mechatronic P300-based brain computer interface (BCI) for wheelchair control applications. A translucent visual stimulus panel (TVSP) is set up in front of the wheelchair to provide an intuitive P300 visual stimulus operation as well as to realize the see-through scene during operating wheelchairs. In this research, a micro projector is utilized to produce flickering visual stimuli on the display board which is 35cm away from the user. To improve the information transfer rate (ITR), a spatial filter based on Canonical Correlation Analysis (CCA) and Support Vector Machine (SVM) were also applied to this work to improve the performance of BCI classification. The result of experiments showed that the proposed BCI is with 88.2% in accuracy and 22.97 bits/min information transfer rate in average received from ten subjects. In ground truth experiments of practical trajectory tracking, the root mean squared error (RMSE) of P300 BCI are 12.11cm in “U” trajectory test.","2155-1782","978-1-7281-5907-2","10.1109/BioRob49111.2020.9224373","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9224373","Brain-machine interfaces;Human-machine interfaces;Algorithms and machine learning","Brain-computer interfaces;Visualization;Training;Spatial filters;Electroencephalography;Correlation;Wheelchairs","bioelectric potentials;brain-computer interfaces;electroencephalography;handicapped aids;mechatronics;medical signal processing;spatial filters;support vector machines;visual evoked potentials;wheelchairs","trajectory tracking validation;BCI-based human-wheelchair interface;mechatronic P300-based brain computer interface;wheelchair control applications;translucent visual stimulus panel;intuitive P300 visual stimulus operation;microprojector;display board;canonical correlation analysis;support vector machine;BCI classification;P300 BCI;trajectory test;root mean squared error;flickering visual stimuli;spatial filter;information transfer rate;distance 35.0 cm","","","","13","","15 Oct 2020","","","IEEE","IEEE Conferences"
"MaRePhoR — An open access machine-readable phonetic dictionary for Romanian","Ş. Toma; A. Stan; M. Pura; T. Bârsan","Computer Science Department, Military Technical Academy, Bucharest, Romania; Communications Department, Technical University of Cluj-Napoca, Romania; Computer Science Department, Military Technical Academy, Bucharest, Romania; Computer Science Department, Military Technical Academy, Bucharest, Romania","2017 International Conference on Speech Technology and Human-Computer Dialogue (SpeD)","27 Jul 2017","2017","","","1","6","This paper introduces a novel open access resource, the machine-readable phonetic dictionary for Romanian - MaRePhoR. It contains over 70,000 word entries, and their manually performed phonetic transcription. The paper describes the dictionary format and statistics, as well as an initial use of the phonetic transcription entries by building a grapheme to phoneme converter based on decision trees. Various training strategies were tested enabling the correct selection of a final setup for our predictor. The best results showed that using the dictionary as training data, an accuracy of over 99% can be achieved.","","978-1-5090-6497-7","10.1109/SPED.2017.7990435","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7990435","phonetic dictionary;phoneme;grapheme;phonetic transcription;open access","Dictionaries;Decision trees;Open Access;Stress;Classification algorithms;Prediction algorithms;Training","decision trees;language translation;natural language processing;public domain software;speech recognition","MaRePhoR;open access machine-readable phonetic dictionary;open access resource;Romanian language;manually performed phonetic transcription;dictionary format;statistics;phonetic transcription entries;grapheme to phoneme converter;decision trees;training strategies","","2","","21","","27 Jul 2017","","","IEEE","IEEE Conferences"
"Noise Adaptive Training for Robust Automatic Speech Recognition","O. Kalinli; M. L. Seltzer; J. Droppo; A. Acero","R&D Group, Sony Comput. Entertainment of America, Foster City, CA, USA; Microsoft Res., Redmond, WA, USA; Microsoft Res., Redmond, WA, USA; Microsoft Res., Redmond, WA, USA","IEEE Transactions on Audio, Speech, and Language Processing","30 Aug 2010","2010","18","8","1889","1901","In traditional methods for noise robust automatic speech recognition, the acoustic models are typically trained using clean speech or using multi-condition data that is processed by the same feature enhancement algorithm expected to be used in decoding. In this paper, we propose a noise adaptive training (NAT) algorithm that can be applied to all training data that normalizes the environmental distortion as part of the model training. In contrast to feature enhancement methods, NAT estimates the underlying “pseudo-clean” model parameters directly without relying on point estimates of the clean speech features as an intermediate step. The pseudo-clean model parameters learned with NAT are later used with vector Taylor series (VTS) model adaptation for decoding noisy utterances at test time. Experiments performed on the Aurora 2 and Aurora 3 tasks demonstrate that the proposed NAT method obtain relative improvements of 18.83% and 32.02%, respectively, over VTS model adaptation.","1558-7924","","10.1109/TASL.2010.2040522","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5439889","Model adaptation;noise adaptive training;robust speech recognition;vector Taylor series (VTS)","Noise robustness;Automatic speech recognition;Network address translation;Acoustic noise;Speech enhancement;Decoding;Adaptation model;Speech processing;Working environment noise;Training data","series (mathematics);speech coding;speech enhancement;speech recognition","noise adaptive training;automatic speech recognition;feature enhancement;decoding;environmental distortion;pseudoclean model parameters;vector Taylor series model;NAT method","","51","4","30","","29 Mar 2010","","","IEEE","IEEE Journals"
"A Progressively-Trained Scale-Invariant and Boundary-Aware Deep Neural Network for the Automatic 3D Segmentation of Lung Lesions","B. Zhou; R. Crawford; B. Dogdas; G. Goldmacher; A. Chen","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA; Image Data Analytics, Merck & Co., Inc., West Point, PA, USA; Image Data Analytics, Merck & Co., Inc., Rahway, NJ, USA; Translational BiomarkersMerck & Co., Inc.West Point, PA, USA; Image Data AnalyticsMerck & Co., Inc.West Point, PA, USA","2019 IEEE Winter Conference on Applications of Computer Vision (WACV)","7 Mar 2019","2019","","","1","10","Volumetric segmentation of lesions on CT scans is important for many types of analysis, including lesion growth kinetic modeling in clinical trials and machine learning of radiomic features. Manual segmentation is laborious, and impractical for large-scale use. For routine clinical use, and in clinical trials that apply the Response Evaluation Criteria In Solid Tumors (RECIST), clinicians typically outline the boundaries of a lesion on a single slice to extract diameter measurements. In this work, we have collected a large-scale database, named LesionVis, with pixel-wise manual 2D lesion delineations on the RECIST-slices. To extend the 2D segmentations to 3D, we propose a volumetric progressive lesion segmentation (PLS) algorithm to automatically segment the 3D lesion volume from 2D delineations using a scale-invariant and boundary-aware deep convolutional network (SIBA-Net). The SIBA-Net copes with the size transition of a lesion when the PLS progresses from the RECIST-slice to the edge-slices, as well as when performing longitudinal assessment of lesions whose size change over multiple time points. The proposed PLS-SiBA-Net (P-SiBA) approach is assessed on the lung lesion cases from LesionVis. Our experimental results demonstrate that the P-SiBA approach achieves mean Dice similarity coefficients (DSC) of 0.81, which significantly improves 3D segmentation accuracy compared with the approaches proposed previously (highest mean DSC at 0.78 on LesionVis). In summary, by leveraging the limited 2D delineations on the RECIST-slices, P-SiBA is an effective semi-supervised approach to produce accurate lesion segmentations in 3D.","1550-5790","978-1-7281-1975-5","10.1109/WACV.2019.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8659070","","Lesions;Two dimensional displays;Three-dimensional displays;Image segmentation;Computed tomography;Training;Training data","computerised tomography;image segmentation;lung;medical image processing;neural nets;supervised learning;tumours","PLS-SiBA-Net approach;P-SiBA;3D segmentation accuracy;RECIST-slice;lesion growth kinetic modeling;clinical trials;manual segmentation;single slice;large-scale database;volumetric progressive lesion segmentation algorithm;SIBA-Net copes;edge-slices;lung lesion;boundary-aware deep neural network;progressively-trained scale-invariant deep neural network;automatic 3D segmentation;CT scans;computed tomography;pixel-wise manual 2D lesion delineations;longitudinal assessment;LesionVis;Dice similarity coefficients;machine learning;effective semisupervised approach;response evaluation criteria in solid tumors","","1","","26","","7 Mar 2019","","","IEEE","IEEE Conferences"
"Fast and Fully Automatic Left Ventricular Segmentation and Tracking in Echocardiography Using Shape-Based B-Spline Explicit Active Surfaces","J. Pedrosa; S. Queirós; O. Bernard; J. Engvall; T. Edvardsen; E. Nagel; J. D’hooge","Laboratory on Cardiovascular Imaging and Dynamics, KU Leuven, Leuven, Belgium; Laboratory on Cardiovascular Imaging and Dynamics, KU Leuven, Leuven, Belgium; CREATIS, Centre national de la recherche scientifique, Inserm, INSA-Lyon, University of Lyon, University of Lyon 1, Villeurbanne, France; Department of Clinical Physiology and the Department of Medical and Health Sciences, Linköping University, Linköping, Sweden; Center for Heart Failure Research, University of Oslo, Oslo, Norway; DZHK Centre for Cardiovascular Imaging, Institute for Experimental and Translational Cardiovascular Imaging, University Hospital Frankfurt/Main, Frankfurt, Germany; Laboratory on Cardiovascular Imaging and Dynamics, KU Leuven, Leuven, Belgium","IEEE Transactions on Medical Imaging","27 Oct 2017","2017","36","11","2287","2296","Cardiac volume/function assessment remains a critical step in daily cardiology, and 3-D ultrasound plays an increasingly important role. Fully automatic left ventricular segmentation is, however, a challenging task due to the artifacts and low contrast-to-noise ratio of ultrasound imaging. In this paper, a fast and fully automatic framework for the full-cycle endocardial left ventricle segmentation is proposed. This approach couples the advantages of the B-spline explicit active surfaces framework, a purely image information approach, to those of statistical shape models to give prior information about the expected shape for an accurate segmentation. The segmentation is propagated throughout the heart cycle using a localized anatomical affine optical flow. It is shown that this approach not only outperforms other state-of-the-art methods in terms of distance metrics with a mean average distances of 1.81±0.59 and 1.98±0.66 mm at end-diastole and end-systole, respectively, but is computationally efficient (in average 11 s per 4-D image) and fully automatic.","1558-254X","","10.1109/TMI.2017.2734959","European Research Council under the European Union’s Seventh Framework Program (HeartMAPAS; FP7/2007-2013/ERC); FCT Fundação para a Ciência e a Tecnologia, Portugal, in the scope of the Ph.D. Grant; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8000408","3-D echocardiography;left ventricle segmentation;B-spline explicit active surfaces;statistical shape model;localized anatomical affine optical flow","Shape;Image segmentation;Splines (mathematics);Three-dimensional displays;Imaging;Ultrasonic imaging;Minimization","echocardiography;image segmentation;medical image processing;splines (mathematics);ultrasonic imaging","fully automatic left ventricular segmentation;left ventricular tracking;echocardiography;shape-based B-spline explicit active surfaces;cardiac volume-function assessment;cardiology;3D ultrasound imaging;endocardial left ventricle segmentation;heart cycle;localized anatomical affine optical flow","Echocardiography;Heart Ventricles;Humans;Image Processing, Computer-Assisted;Models, Statistical","11","","33","Traditional","2 Aug 2017","","","IEEE","IEEE Journals"
"Automatic Extraction of Dermatological Parameters from Nevi Using an Inexpensive Smartphone Microscope: A Proof of Concept","K. M. Meiburger; F. Veronese; V. Tarantino; M. Salvi; M. Fadda; S. Seoni; E. Zavattaro; B. D. Santi; N. Michielli; P. Savoia; F. Molinari","PoliToBIOMed Lab, Politecnico di Torino, Torino, Italy; Dermatology Unit, Dept. of Health Science, University of Eastern Piedmont, Novara, Italy; Dermatology Unit, Dept. of Health Science, University of Eastern Piedmont, Novara, Italy; PoliToBIOMed Lab, Politecnico di Torino, Torino, Italy; PoliToBIOMed Lab, Politecnico di Torino, Torino, Italy; PoliToBIOMed Lab, Politecnico di Torino, Torino, Italy; Dermatology Unit, Dept. of Translational Medicine, University of Eastern Piedmont, Novara, Italy; PoliToBIOMed Lab, Politecnico di Torino, Torino, Italy; PoliToBIOMed Lab, Politecnico di Torino, Torino, Italy; Dermatology Unit, Dept. of Health Science, University of Eastern Piedmont, Novara, Italy; PoliToBIOMed Lab, Politecnico di Torino, Torino, Italy","2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","7 Oct 2019","2019","","","399","402","The evolution of smartphone technology has made their use more common in dermatological applications. Here we studied the feasibility of using an inexpensive smartphone microscope for the extraction of dermatological parameters and compared the results obtained with a portable dermoscope, commonly used in clinical practice. Forty-two skin lesions were imaged with both devices and visually analyzed by an expert dermatologist. The presence of a reticular pattern was observed in 22 dermoscopic images, but only in 10 smartphone images. The proposed paradigm segments the image and extracts texture features which are used to train and validate a neural network to classify the presence of a reticular pattern. Using 5-fold cross-validation, an accuracy of 100% and 95% was obtained with the dermoscopic and smartphone images, respectively. This approach can be useful for general practitioners and as a triage tool for skin lesion analysis.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8856720","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8856720","","Image segmentation;Feature extraction;Artificial neural networks;Lesions;Microscopy;Melanoma","biomedical communication;biomedical optical imaging;cancer;feature extraction;image classification;image segmentation;image texture;medical image processing;skin;smart phones","skin lesion analysis;automatic dermatological parameter extraction;dermatological applications;smartphone microscope;texture feature extraction;smartphone images;dermoscopic images;reticular pattern;portable dermoscope","Dermoscopy;Humans;Nevus;Skin Diseases;Smartphone","","","12","","7 Oct 2019","","","IEEE","IEEE Conferences"
"TRACE: A Topological Graph Representation for Automatic Sulcal Curve Extraction","I. Lyu; S. H. Kim; N. D. Woodward; M. A. Styner; B. A. Landman","Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN, USA; Department of Psychiatry, The University of North Carolina, Chapel Hill, NC, USA; Department of Psychiatry, Vanderbilt University, Nashville, TN, USA; Department of Psychiatry, The University of North Carolina, Chapel Hill, NC, USA; Department of Electrical Engineering and Computer Science, Vanderbilt University, Nashville, TN, USA","IEEE Transactions on Medical Imaging","29 Jun 2018","2018","37","7","1653","1663","A proper geometric representation of the cortical regions is a fundamental task for cortical shape analysis and landmark extraction. However, a significant challenge has arisen due to the highly variable, convoluted cortical folding patterns. In this paper, we propose a novel topological graph representation for automatic sulcal curve extraction (TRACE). In practice, the reconstructed surface suffers from noise influences introduced during image acquisition/surface reconstruction. In the presence of noise on the surface, TRACE determines stable sulcal fundic regions by employing the line simplification method that prevents the sulcal folding pattern from being significantly smoothed out. The sulcal curves are then traced over the connected graph in the determined regions by the Dijkstra's shortest path algorithm. For validation, we used the state-of-the-art surface reconstruction pipelines on a reproducibility data set. The experimental results showed higher reproducibility and robustness to noise in TRACE than the existing method (Li et al. 2010) with over 20% relative improvement in error for both surface reconstruction pipelines. In addition, the extracted sulcal curves by TRACE were well-aligned with manually delineated primary sulcal curves. We also provided a choice of parameters to control quality of the extracted sulcal curves and showed the influences of the parameter selection on the resulting curves.","1558-254X","","10.1109/TMI.2017.2787589","National Science Foundation; National Institutes of Health; Vanderbilt Institute for Clinical and Translational Research; National Center for Research Resources; National Center for Advancing Translational Sciences; National Institutes of Health; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8240660","Cortical surface;line simplification;shortest path;sulcal curve;topological graph;valley detection","Surface reconstruction;Shape;Robustness;Mathematical model;Image reconstruction;Pipelines","data acquisition;feature extraction;image reconstruction;image registration;medical image processing","image acquisition-surface reconstruction;topological-graph-representation-for-automatic-sulcal-curve-extraction;manually delineated primary sulcal curves;extracted sulcal curves;state-of-the-art surface reconstruction pipelines;sulcal folding pattern;stable sulcal fundic regions;noise influences;convoluted cortical folding patterns;landmark extraction;cortical shape analysis;cortical regions;TRACE","Algorithms;Brain Mapping;Cerebral Cortex;Female;Humans;Image Interpretation, Computer-Assisted;Magnetic Resonance Imaging;Male","2","","53","","27 Dec 2017","","","IEEE","IEEE Journals"
"Development of semi-automatic procedure for detection and tracking of fiducial markers for orofacial kinematics during natural feeding","F. Bunyak; N. Shiraishi; K. Palaniappan; T. E. Lever; L. Avivi-Arber; K. Takahashi","Department of Computer Science, University of Missouri, Columbia, 65211, United States of America; Division of Dysphagia Rehabilitation, Graduate School of Medical and Dental Sciences, Niigata University, Japan; Department of Computer Science, University of Missouri, Columbia, 65211, United States of America; Department of Otolaryngology-Head and Neck Surgery, University of Missouri School of Medicine, Columbia, 65212, USA; Department of Prosthodontics, Faculty of Dentistry, University of Toronto, ON M5G 1G6, Canada; Division of Dysphagia Rehabilitation, Graduate School of Medical and Dental Sciences, Niigata University, Japan","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","14 Sep 2017","2017","","","580","583","Feeding is a highly complex, essential behavior for survival in all species. Characterization of feeding behaviors has implications in basic science and translational medicine. We have been developing methods to study feeding behaviors using high speed videofluoroscopy (XROMM) in rats while self-feeding radiopaque flavored kibble. The rat is a popular model in translational medicine; however, it has not been studied using this methodology. Towards this goal, we surgically implanted radiopaque fiducial markers into the skull, mandible, and tongue of rats to enable motion tracking. We are developing computer vision tools to extract kinematics and behavioral features from XROMM videos to overcome barriers of current analysis methods. By understanding feeding dynamics, we will gain basic scientific knowledge and translational insights for feeding disorders caused by neurological conditions such as ALS, Parkinson's disease, and stroke.","1558-4615","978-1-5090-2809-2","10.1109/EMBC.2017.8036891","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036891","","Rats;Kinematics;Surgery;Tracking;Tongue;Three-dimensional displays","computer vision;diagnostic radiography;diseases;feature extraction;kinematics;medical disorders;medical image processing;neurophysiology;prosthetics;video signal processing","semiautomatic procedure;fiducial marker tracking;orofacial kinematics;natural feeding;feeding behaviors;translational medicine;high speed videofluoroscopy;XROMM videos;self-feeding radiopaque flavored kibble;surgical implanted radiopaque fiducial markers;tongue;skull;mandible;motion tracking;fiducial marker detection;computer vision tools;feeding dynamics;feeding disorders;neurological conditions;ALS;Parkinson disease;stroke","Animals;Biomechanical Phenomena;Fiducial Markers;Motion;Rats;Tongue","","","13","","14 Sep 2017","","","IEEE","IEEE Conferences"
