Item Title,Item DOI,Publication Year,URL,Content Type,Source
Decoding Optimization for Chinese-English Machine Translation via a Dependent Syntax Language Model,10.1007/978-3-642-23896-3_17,2011,http://link.springer.com/chapter/10.1007/978-3-642-23896-3_17,Chapter,Springer
Method of Sentiment Preservation in the Kazakh-Turkish Machine Translation,10.1007/978-3-030-58802-1_38,2020,http://link.springer.com/chapter/10.1007/978-3-030-58802-1_38,Chapter,Springer
A Model of Context Adapted to Domain-Independent Machine Translation,10.1007/3-540-48315-2_5,1999,http://link.springer.com/chapter/10.1007/3-540-48315-2_5,Chapter,Springer
Responses to Current Research in Machine Translation by Harold Somers,10.1007/BF00398476,1992,http://link.springer.com/article/10.1007/BF00398476,Article,Springer
Integration of a Noun Compound Translator Tool with Moses for English-Hindi Machine Translation and Evaluation,10.1007/978-3-642-28601-8_6,2012,http://link.springer.com/chapter/10.1007/978-3-642-28601-8_6,Chapter,Springer
Machine translation and terminology database—uneasy bedfellows?,10.1007/3-540-59040-4_25,1995,http://link.springer.com/chapter/10.1007/3-540-59040-4_25,Chapter,Springer
Transfer in Machine Translation by Non-Confluent Term-Rewrite Systems,10.1007/978-3-642-75100-4_30,1989,http://link.springer.com/chapter/10.1007/978-3-642-75100-4_30,Chapter,Springer
Machine Translation in Context,10.1007/3-540-49478-2_15,1998,http://link.springer.com/chapter/10.1007/3-540-49478-2_15,Chapter,Springer
Toward Machine Translation Linguistic Issues of Indian Sign Language,10.1007/978-981-10-6626-9_14,2018,http://link.springer.com/chapter/10.1007/978-981-10-6626-9_14,Chapter,Springer
Quality estimation for machine translation: preface,10.1007/s10590-013-9145-5,2013,http://link.springer.com/article/10.1007/s10590-013-9145-5,Article,Springer
Natural Intelligence in a Machine Translation System,10.1007/3-540-45820-4_24,2002,http://link.springer.com/chapter/10.1007/3-540-45820-4_24,Chapter,Springer
Identification of Non-referential Zero Pronouns for Korean-English Machine Translation,10.1007/978-3-642-15246-7_13,2010,http://link.springer.com/chapter/10.1007/978-3-642-15246-7_13,Chapter,Springer
Detecting and Translating Dropped Pronouns in Neural Machine Translation,10.1007/978-3-030-32233-5_27,2019,http://link.springer.com/chapter/10.1007/978-3-030-32233-5_27,Chapter,Springer
Machine Translation,10.1007/978-3-642-20444-9_4,2012,http://link.springer.com/chapter/10.1007/978-3-642-20444-9_4,Chapter,Springer
Use of Free On-Line Machine Translation for Interactive Cross-Language Question Answering,10.1007/11878773_31,2006,http://link.springer.com/chapter/10.1007/11878773_31,Chapter,Springer
Target Oriented Data Generation for Quality Estimation of Machine Translation,10.1007/978-3-030-32233-5_31,2019,http://link.springer.com/chapter/10.1007/978-3-030-32233-5_31,Chapter,Springer
Research on the LSTM Mongolian and Chinese machine translation based on morpheme encoding,10.1007/s00521-018-3741-5,2020,http://link.springer.com/article/10.1007/s00521-018-3741-5,Article,Springer
Phrase-Based Statistical Machine Translation,10.1007/3-540-45751-8_2,2002,http://link.springer.com/chapter/10.1007/3-540-45751-8_2,Chapter,Springer
Exploring the Use of Target-Language Information to Train the Part-of-Speech Tagger of Machine Translation Systems,10.1007/978-3-540-30228-5_13,2004,http://link.springer.com/chapter/10.1007/978-3-540-30228-5_13,Chapter,Springer
The KANTOO Machine Translation Environment,10.1007/3-540-39965-8_20,2000,http://link.springer.com/chapter/10.1007/3-540-39965-8_20,Chapter,Springer
A Syntactic Transformation Model for Statistical Machine Translation,10.1007/11940098_7,2006,http://link.springer.com/chapter/10.1007/11940098_7,Chapter,Springer
Introduction to special issue on example-based machine translation,10.1007/s10590-006-9011-9,2005,http://link.springer.com/article/10.1007/s10590-006-9011-9,Article,Springer
Automatic evaluation of output quality for Machine Translation systems,10.1007/BF00981248,1993,http://link.springer.com/article/10.1007/BF00981248,Article,Springer
A proposed model for neural machine translation of Sanskrit into English,10.1007/s41870-019-00340-8,2021,http://link.springer.com/article/10.1007/s41870-019-00340-8,Article,Springer
Statistical Machine Translation,10.1007/978-1-4899-7687-1_783,2017,http://link.springer.com/referenceworkentry/10.1007/978-1-4899-7687-1_783,ReferenceWorkEntry,Springer
MaxSD: A Neural Machine Translation Evaluation Metric Optimized by Maximizing Similarity Distance,10.1007/978-3-319-50496-4_13,2016,http://link.springer.com/chapter/10.1007/978-3-319-50496-4_13,Chapter,Springer
Introduction to the Special Issue on Machine Translation for Low-Resource Languages,10.1007/s10590-020-09256-8,2020,http://link.springer.com/article/10.1007/s10590-020-09256-8,Article,Springer
Example-Based Machine Translation via the Web,10.1007/3-540-45820-4_8,2002,http://link.springer.com/chapter/10.1007/3-540-45820-4_8,Chapter,Springer
Effective Soft-Adaptation for Neural Machine Translation,10.1007/978-3-030-32236-6_22,2019,http://link.springer.com/chapter/10.1007/978-3-030-32236-6_22,Chapter,Springer
An Empirical Comparison of Stack-Based Decoding Algorithms for Statistical Machine Translation,10.1007/978-3-540-44871-6_76,2003,http://link.springer.com/chapter/10.1007/978-3-540-44871-6_76,Chapter,Springer
Hindi to Punjabi Machine Translation System,10.1007/978-3-642-19403-0_40,2011,http://link.springer.com/chapter/10.1007/978-3-642-19403-0_40,Chapter,Springer
The Application of Phrase Based Statistical Machine Translation Techniques to Myanmar Grapheme to Phoneme Conversion,10.1007/978-981-10-0515-2_17,2016,http://link.springer.com/chapter/10.1007/978-981-10-0515-2_17,Chapter,Springer
Some Improvements in Phrase-Based Statistical Machine Translation,10.1007/11939993_71,2006,http://link.springer.com/chapter/10.1007/11939993_71,Chapter,Springer
Word Position Aware Translation Memory for Neural Machine Translation,10.1007/978-3-030-32233-5_29,2019,http://link.springer.com/chapter/10.1007/978-3-030-32233-5_29,Chapter,Springer
Opening Machine Translation Black Box for Cross-Language Information Retrieval,10.1007/978-3-642-35341-3_42,2012,http://link.springer.com/chapter/10.1007/978-3-642-35341-3_42,Chapter,Springer
Improving Machine Transliteration Performance by Using Multiple Transliteration Models,10.1007/11940098_9,2006,http://link.springer.com/chapter/10.1007/11940098_9,Chapter,Springer
Machine translation evaluation versus quality estimation,10.1007/s10590-010-9077-2,2010,http://link.springer.com/article/10.1007/s10590-010-9077-2,Article,Springer
Pattern Matching-Based System for Machine Translation (MT),10.1007/11752912_35,2006,http://link.springer.com/chapter/10.1007/11752912_35,Chapter,Springer
Disambiguating Phrasal Verbs in English to Kannada Machine Translation,10.1007/978-3-642-31686-9_47,2012,http://link.springer.com/chapter/10.1007/978-3-642-31686-9_47,Chapter,Springer
A Hybrid Sentence Splitting Method by Comma Insertion for Machine Translation with CRF,10.1007/978-3-319-25816-4_12,2015,http://link.springer.com/chapter/10.1007/978-3-319-25816-4_12,Chapter,Springer
An Approach for Efficient Machine Translation Using Translation Memory,10.1007/978-981-10-3433-6_34,2016,http://link.springer.com/chapter/10.1007/978-981-10-3433-6_34,Chapter,Springer
Better Addressing Word Deletion for Statistical Machine Translation,10.1007/978-3-319-50496-4_8,2016,http://link.springer.com/chapter/10.1007/978-3-319-50496-4_8,Chapter,Springer
RGraph: Generating Reference Graphs for Better Machine Translation Evaluation,10.1007/978-981-10-7134-8_6,2017,http://link.springer.com/chapter/10.1007/978-981-10-7134-8_6,Chapter,Springer
Applying Machine Translation to Two-Stage Cross-Language Information Retrieval,10.1007/3-540-39965-8_2,2000,http://link.springer.com/chapter/10.1007/3-540-39965-8_2,Chapter,Springer
Learning Accurate Integer Transformer Machine-Translation Models,10.1007/s42979-021-00688-4,2021,http://link.springer.com/article/10.1007/s42979-021-00688-4,Article,Springer
Neural Machine Translation,10.1007/978-981-32-9748-7_1,2019,http://link.springer.com/chapter/10.1007/978-981-32-9748-7_1,Chapter,Springer
NERITS - A Machine Translation Mashup System Using Wikimeta and DBpedia,10.1007/978-3-642-41242-4_57,2013,http://link.springer.com/chapter/10.1007/978-3-642-41242-4_57,Chapter,Springer
Synonym-Based Reordering Model for Statistical Machine Translation,10.1007/978-3-319-42297-8_35,2016,http://link.springer.com/chapter/10.1007/978-3-319-42297-8_35,Chapter,Springer
Introduction: Special issue on building lexicons for machine translation,10.1007/BF00997230,1995,http://link.springer.com/article/10.1007/BF00997230,Article,Springer
Domain-Specific Hybrid Machine Translation from English to Portuguese,10.1007/978-3-319-41552-9_5,2016,http://link.springer.com/chapter/10.1007/978-3-319-41552-9_5,Chapter,Springer
Shallow Syntactic Preprocessing for Statistical Machine Translation,10.1007/978-3-642-33983-7_11,2012,http://link.springer.com/chapter/10.1007/978-3-642-33983-7_11,Chapter,Springer
A model of an IP machine translation system based on term frequency weighting and the hidden Markov chain,10.3103/S0005105511040042,2011,http://link.springer.com/article/10.3103/S0005105511040042,Article,Springer
Incorporating Named Entity Information into Neural Machine Translation,10.1007/978-3-030-60450-9_31,2020,http://link.springer.com/chapter/10.1007/978-3-030-60450-9_31,Chapter,Springer
Partial Least Squares for Word Confidence Estimation in Machine Translation,10.1007/978-3-642-38628-2_59,2013,http://link.springer.com/chapter/10.1007/978-3-642-38628-2_59,Chapter,Springer
Phrase Tagset Mapping for French and English Treebanks and Its Application in Machine Translation Evaluation,10.1007/978-3-642-40722-2_13,2013,http://link.springer.com/chapter/10.1007/978-3-642-40722-2_13,Chapter,Springer
L&H Lexicography Toolkit for Machine Translation,10.1007/3-540-39965-8_24,2000,http://link.springer.com/chapter/10.1007/3-540-39965-8_24,Chapter,Springer
Automatic Post-Editing Method Using Translation Knowledge Based on Intuitive Common Parts Continuum for Statistical Machine Translation,10.1007/978-3-319-11581-8_16,2014,http://link.springer.com/chapter/10.1007/978-3-319-11581-8_16,Chapter,Springer
Discriminative Spoken Language Understanding Using Statistical Machine Translation Alignment Models,10.1007/978-3-319-10849-0_20,2014,http://link.springer.com/chapter/10.1007/978-3-319-10849-0_20,Chapter,Springer
Syntactic Reordering for Arabic- English Phrase-Based Machine Translation,10.1007/978-3-642-17622-7_20,2010,http://link.springer.com/chapter/10.1007/978-3-642-17622-7_20,Chapter,Springer
Towards Creation of a Lithuanian Lemmatizer for Open Online Collaborative Machine Translation,10.1007/978-3-319-67642-5_43,2017,http://link.springer.com/chapter/10.1007/978-3-319-67642-5_43,Chapter,Springer
Improving Low-Resource Neural Machine Translation with Weight Sharing,10.1007/978-3-030-01716-3_6,2018,http://link.springer.com/chapter/10.1007/978-3-030-01716-3_6,Chapter,Springer
Towards Extended Machine Translation Model for Next Generation World Wide Web,10.1007/978-3-540-30208-7_162,2004,http://link.springer.com/chapter/10.1007/978-3-540-30208-7_162,Chapter,Springer
A Hybrid Rule and Example-Based Method for Machine Translation,10.1007/978-94-010-0181-6_7,2003,http://link.springer.com/chapter/10.1007/978-94-010-0181-6_7,Chapter,Springer
Intelligent Case Based Machine Translation System,10.1007/3-540-44686-9_21,2001,http://link.springer.com/chapter/10.1007/3-540-44686-9_21,Chapter,Springer
An English-Arabic Bi-directional Machine Translation Tool in the Agriculture Domain,10.1007/978-3-642-16327-2_34,2010,http://link.springer.com/chapter/10.1007/978-3-642-16327-2_34,Chapter,Springer
Toward Interlinking Asian Resources Effectively: Chinese to Korean Frequency-Based Machine Translation System,10.1007/978-3-319-06826-8_6,2014,http://link.springer.com/chapter/10.1007/978-3-319-06826-8_6,Chapter,Springer
Language Independent Evaluation of Translation Style and Consistency: Comparing Human and Machine Translations of Camus’ Novel “The Stranger”,10.1007/978-3-319-10816-2_15,2014,http://link.springer.com/chapter/10.1007/978-3-319-10816-2_15,Chapter,Springer
SYSTRAN on AltaVista A User Study on Real-Time Machine Translation on the Internet,10.1007/3-540-49478-2_25,1998,http://link.springer.com/chapter/10.1007/3-540-49478-2_25,Chapter,Springer
Pushing the frontier of Statistical Machine Translation: Preface,10.1007/s10590-010-9084-3,2010,http://link.springer.com/article/10.1007/s10590-010-9084-3,Article,Springer
Noise-Based Adversarial Training for Enhancing Agglutinative Neural Machine Translation,10.1007/978-3-030-29908-8_31,2019,http://link.springer.com/chapter/10.1007/978-3-030-29908-8_31,Chapter,Springer
Automatic Selection of Parallel Data for Machine Translation,10.1007/978-3-319-92016-0_14,2018,http://link.springer.com/chapter/10.1007/978-3-319-92016-0_14,Chapter,Springer
Comparative Analysis of Tools Available for Developing Statistical Approach Based Machine Translation System,10.1007/978-3-642-19403-0_44,2011,http://link.springer.com/chapter/10.1007/978-3-642-19403-0_44,Chapter,Springer
Combining Phrase and Neural-Based Machine Translation: What Worked and Did Not,10.1007/978-3-319-75487-1_2,2018,http://link.springer.com/chapter/10.1007/978-3-319-75487-1_2,Chapter,Springer
Statistical Machine Translation from and into Morphologically Rich and Low Resourced Languages,10.1007/978-3-319-18111-0_41,2015,http://link.springer.com/chapter/10.1007/978-3-319-18111-0_41,Chapter,Springer
Effective Online Learning Implementation for Statistical Machine Translation,10.1007/978-3-319-97571-9_24,2018,http://link.springer.com/chapter/10.1007/978-3-319-97571-9_24,Chapter,Springer
Incorporating Phrase-Level Agreement into Neural Machine Translation,10.1007/978-3-030-60450-9_33,2020,http://link.springer.com/chapter/10.1007/978-3-030-60450-9_33,Chapter,Springer
An Investigation on Statistical Machine Translation with Neural Language Models,10.1007/978-3-319-12277-9_16,2014,http://link.springer.com/chapter/10.1007/978-3-319-12277-9_16,Chapter,Springer
Machine translation output and translation theory,10.1007/BF01540132,1987,http://link.springer.com/article/10.1007/BF01540132,Article,Springer
OpenLogos Machine Translation: Exploring and Using It in Anusaaraka Platform,10.1007/978-3-642-19403-0_11,2011,http://link.springer.com/chapter/10.1007/978-3-642-19403-0_11,Chapter,Springer
On a Kernel Regression Approach to Machine Translation,10.1007/978-3-642-02172-5_51,2009,http://link.springer.com/chapter/10.1007/978-3-642-02172-5_51,Chapter,Springer
"Peter Whitelock and Kieran Kilby, Linguistic and Computational Techniques in Machine Translation System Design",10.1023/A:1007952330181,1997,http://link.springer.com/article/10.1023/A%3A1007952330181,Article,Springer
Error Analysis of English-Chinese Machine Translation,10.1007/978-3-319-47674-2_4,2016,http://link.springer.com/chapter/10.1007/978-3-319-47674-2_4,Chapter,Springer
Improving Quality Estimation of Machine Translation by Using Pre-trained Language Representation,10.1007/978-981-15-1721-1_2,2019,http://link.springer.com/chapter/10.1007/978-981-15-1721-1_2,Chapter,Springer
German Compounds in Factored Statistical Machine Translation,10.1007/978-3-540-85287-2_44,2008,http://link.springer.com/chapter/10.1007/978-3-540-85287-2_44,Chapter,Springer
Bayesian Adaptation for Statistical Machine Translation,10.1007/978-3-642-14980-1_61,2010,http://link.springer.com/chapter/10.1007/978-3-642-14980-1_61,Chapter,Springer
Challenges in NP Case-Mapping in Sanskrit Hindi Machine Translation,10.1007/978-3-642-19403-0_50,2011,http://link.springer.com/chapter/10.1007/978-3-642-19403-0_50,Chapter,Springer
Exploring Machine Translation on the Chinese-Vietnamese Language Pair (Extended Abstract),10.1007/978-3-030-34980-6_24,2019,http://link.springer.com/chapter/10.1007/978-3-030-34980-6_24,Chapter,Springer
Forest to String Based Statistical Machine Translation with Hybrid Word Alignments,10.1007/978-3-319-75487-1_4,2018,http://link.springer.com/chapter/10.1007/978-3-319-75487-1_4,Chapter,Springer
A Syntactic-based Word Re-ordering for English-Vietnamese Statistical Machine Translation System,10.1007/978-3-540-89197-0_75,2008,http://link.springer.com/chapter/10.1007/978-3-540-89197-0_75,Chapter,Springer
Passive-Aggressive for On-Line Learning in Statistical Machine Translation,10.1007/978-3-642-21257-4_30,2011,http://link.springer.com/chapter/10.1007/978-3-642-21257-4_30,Chapter,Springer
English-Marathi Neural Machine Translation Using Local Attention,10.1007/978-981-16-0401-0_21,2021,http://link.springer.com/chapter/10.1007/978-981-16-0401-0_21,Chapter,Springer
"Machine Translation Systems: E-K, K-E, J-K, K-J",10.1007/3-540-39965-8_28,2000,http://link.springer.com/chapter/10.1007/3-540-39965-8_28,Chapter,Springer
Ranking Machine Translation Systems via Post-editing,10.1007/978-3-642-40585-3_52,2013,http://link.springer.com/chapter/10.1007/978-3-642-40585-3_52,Chapter,Springer
Improving Mongolian-Chinese Machine Translation with Automatic Post-editing,10.1007/978-3-030-63830-6_64,2020,http://link.springer.com/chapter/10.1007/978-3-030-63830-6_64,Chapter,Springer
Statistical Machine Translation of German Compound Words,10.1007/11816508_61,2006,http://link.springer.com/chapter/10.1007/11816508_61,Chapter,Springer
Incremental and Adaptive Learning for Interactive Machine Translation,10.1007/978-0-85729-479-1_8,2011,http://link.springer.com/chapter/10.1007/978-0-85729-479-1_8,Chapter,Springer
A Topic-Based Reordering Model for Statistical Machine Translation,10.1007/978-3-662-45924-9_37,2014,http://link.springer.com/chapter/10.1007/978-3-662-45924-9_37,Chapter,Springer
Sentence-Length Informed Method for Active Learning Based Resource-Poor Statistical Machine Translation,10.1007/978-3-662-45924-9_9,2014,http://link.springer.com/chapter/10.1007/978-3-662-45924-9_9,Chapter,Springer
Third International Conference on Theoretical and Methodological Issues in Machine Translation of Natural Languages,10.1007/BF00393760,1990,http://link.springer.com/article/10.1007/BF00393760,Article,Springer
Neural Machine Translation with Recurrent Highway Networks,10.1007/978-3-030-05918-7_27,2018,http://link.springer.com/chapter/10.1007/978-3-030-05918-7_27,Chapter,Springer
Minimum Error-Rate Training in Statistical Machine Translation Using Structural SVMs,10.1007/978-3-642-02172-5_49,2009,http://link.springer.com/chapter/10.1007/978-3-642-02172-5_49,Chapter,Springer
Toward Practical Use of Machine Translation,10.1007/978-3-642-33983-7_3,2012,http://link.springer.com/chapter/10.1007/978-3-642-33983-7_3,Chapter,Springer
Knowledge-based machine translation,10.1007/BF00367750,1989,http://link.springer.com/article/10.1007/BF00367750,Article,Springer
Direct-Bridge Combination Scenario for Persian-Spanish Low-Resource Statistical Machine Translation,10.1007/978-3-030-01204-5_7,2018,http://link.springer.com/chapter/10.1007/978-3-030-01204-5_7,Chapter,Springer
Dual-Learning-Based Neural Machine Translation Using Undirected Sequence Model for Document Translation,10.1007/978-3-030-63820-7_73,2020,http://link.springer.com/chapter/10.1007/978-3-030-63820-7_73,Chapter,Springer
Identifying Intensification Processes in Brazilian Sign Language in the Framework of Brazilian Portuguese Machine Translation,10.1007/978-3-319-99722-3_21,2018,http://link.springer.com/chapter/10.1007/978-3-319-99722-3_21,Chapter,Springer
Transformer-Based Unified Neural Network for Quality Estimation and Transformer-Based Re-decoding Model for Machine Translation,10.1007/978-981-33-6162-1_6,2020,http://link.springer.com/chapter/10.1007/978-981-33-6162-1_6,Chapter,Springer
Research on Semantic-Based Passive Transformation in Chinese-English Machine Translation,10.1007/978-3-642-41644-6_32,2013,http://link.springer.com/chapter/10.1007/978-3-642-41644-6_32,Chapter,Springer
Pretreatment for Speech Machine Translation,10.1007/978-3-642-16732-4_13,2010,http://link.springer.com/chapter/10.1007/978-3-642-16732-4_13,Chapter,Springer
Reliving the History: The Beginnings of Statistical Machine Translation and Languages with Rich Morphology,10.1007/978-3-642-14770-8_1,2010,http://link.springer.com/chapter/10.1007/978-3-642-14770-8_1,Chapter,Springer
"A Speech-to-Speech, Machine Translation Mediated Map Task: An Exploratory Study",10.1007/978-3-319-33500-1_5,2016,http://link.springer.com/chapter/10.1007/978-3-319-33500-1_5,Chapter,Springer
Independent Fusion of Words and Image for Multimodal Machine Translation,10.1007/978-981-15-1721-1_4,2019,http://link.springer.com/chapter/10.1007/978-981-15-1721-1_4,Chapter,Springer
Neural Machine Translation Based on Improved Actor-Critic Method,10.1007/978-3-030-61616-8_28,2020,http://link.springer.com/chapter/10.1007/978-3-030-61616-8_28,Chapter,Springer
Asymmetric Hybrid Machine Translation for Languages with Scarce Resources,10.1007/978-3-540-70939-8_35,2007,http://link.springer.com/chapter/10.1007/978-3-540-70939-8_35,Chapter,Springer
n-Best Reranking for the Efficient Integration of Word Sense Disambiguation and Statistical Machine Translation,10.1007/978-3-540-78135-6_34,2008,http://link.springer.com/chapter/10.1007/978-3-540-78135-6_34,Chapter,Springer
Fast-Syntax-Matching-Based Japanese-Chinese Limited Machine Translation,10.1007/978-3-319-75487-1_6,2018,http://link.springer.com/chapter/10.1007/978-3-319-75487-1_6,Chapter,Springer
Using Machine Translation Systems to Expand a Corpus in Textual Entailment,10.1007/978-3-642-14770-8_12,2010,http://link.springer.com/chapter/10.1007/978-3-642-14770-8_12,Chapter,Springer
Domain Adaptation in Statistical Machine Translation Using Comparable Corpora: Case Study for English Latvian IT Localisation,10.1007/978-3-642-37256-8_19,2013,http://link.springer.com/chapter/10.1007/978-3-642-37256-8_19,Chapter,Springer
Reuse of Free Online MT Engines to Develop a Meta-system of Multilingual Machine Translation,10.1007/978-3-540-30228-5_27,2004,http://link.springer.com/chapter/10.1007/978-3-540-30228-5_27,Chapter,Springer
SisHiTra : A Hybrid Machine Translation System from Spanish to Catalan,10.1007/978-3-540-30228-5_31,2004,http://link.springer.com/chapter/10.1007/978-3-540-30228-5_31,Chapter,Springer
Some Problems of Prepositional Phrases in Machine Translation,10.1007/11816508_59,2006,http://link.springer.com/chapter/10.1007/11816508_59,Chapter,Springer
"Sylviane Cardey, Peter Greenfield, Séverine Vienney (eds): Machine Translation, Controlled Languages and Specialised Languages",10.1007/s10590-009-9052-y,2009,http://link.springer.com/article/10.1007/s10590-009-9052-y,Article,Springer
Character-Aware Low-Resource Neural Machine Translation with Weight Sharing and Pre-training,10.1007/978-3-030-32381-3_26,2019,http://link.springer.com/chapter/10.1007/978-3-030-32381-3_26,Chapter,Springer
Sentence-Level Paraphrasing for Machine Translation System Combination,10.1007/978-981-10-2053-7_54,2016,http://link.springer.com/chapter/10.1007/978-981-10-2053-7_54,Chapter,Springer
Spicing Up the Information Soup: Machine Translation and the Internet,10.1007/3-540-49478-2_35,1998,http://link.springer.com/chapter/10.1007/3-540-49478-2_35,Chapter,Springer
Semantic Relatedness for All (Languages): A Comparative Analysis of Multilingual Semantic Relatedness Using Machine Translation,10.1007/978-3-319-49004-5_14,2016,http://link.springer.com/chapter/10.1007/978-3-319-49004-5_14,Chapter,Springer
Comparing and Integrating Alignment Template and Standard Phrase-Based Statistical Machine Translation,10.1007/978-3-540-70939-8_37,2007,http://link.springer.com/chapter/10.1007/978-3-540-70939-8_37,Chapter,Springer
Quality Estimation for English-Hungarian Machine Translation Systems with Optimized Semantic Features,10.1007/978-3-319-75487-1_8,2018,http://link.springer.com/chapter/10.1007/978-3-319-75487-1_8,Chapter,Springer
Deyi Xiong and Min Zhang: Linguistically motivated statistical machine translation: models and algorithms,10.1007/s10590-015-9171-6,2015,http://link.springer.com/article/10.1007/s10590-015-9171-6,Article,Springer
Explicit Length Modelling for Statistical Machine Translation,10.1007/978-3-642-21257-4_34,2011,http://link.springer.com/chapter/10.1007/978-3-642-21257-4_34,Chapter,Springer
A Grammatical Analysis on Machine Translation Errors,10.1007/978-981-13-3083-4_1,2019,http://link.springer.com/chapter/10.1007/978-981-13-3083-4_1,Chapter,Springer
Challenges in Machine Translation,10.1007/11939993_3,2006,http://link.springer.com/chapter/10.1007/11939993_3,Chapter,Springer
"LAR-WordNet: A Machine-Translated, Pan-Hispanic and Regional WordNet for Spanish",10.1007/978-3-030-03928-8_32,2018,http://link.springer.com/chapter/10.1007/978-3-030-03928-8_32,Chapter,Springer
Pivot-Based Semantic Splicing for Neural Machine Translation,10.1007/978-981-10-3635-4_2,2016,http://link.springer.com/chapter/10.1007/978-981-10-3635-4_2,Chapter,Springer
Expansion of Machine Translation Bilingual Dictionaries by Using Existing Dictionaries and Thesauruses,10.1007/11940098_35,2006,http://link.springer.com/chapter/10.1007/11940098_35,Chapter,Springer
Merging Example-Based and Statistical Machine Translation: An Experiment,10.1007/3-540-45820-4_11,2002,http://link.springer.com/chapter/10.1007/3-540-45820-4_11,Chapter,Springer
Analysis of Sign Languages: A Step Towards Multi-lingual Machine Translation for Sign Languages,10.1007/3-540-46562-6_48,2000,http://link.springer.com/chapter/10.1007/3-540-46562-6_48,Chapter,Springer
Automatic Filtering of Bilingual Corpora for Statistical Machine Translation,10.1007/11428817_24,2005,http://link.springer.com/chapter/10.1007/11428817_24,Chapter,Springer
Morphological Rules of Bangla Repetitive Words for UNL Based Machine Translation,10.1007/978-3-319-20469-7_43,2015,http://link.springer.com/chapter/10.1007/978-3-319-20469-7_43,Chapter,Springer
Example-Based Machine Translation Without Saying Inferable Predicate,10.1007/978-3-540-30211-7_22,2005,http://link.springer.com/chapter/10.1007/978-3-540-30211-7_22,Chapter,Springer
Experimenting Statistical Machine Translation for Ethiopic Semitic Languages: The Case of Amharic-Tigrigna,10.1007/978-3-319-95153-9_13,2018,http://link.springer.com/chapter/10.1007/978-3-319-95153-9_13,Chapter,Springer
Machine Translation among Languages with Transitivity Divergences Using the Causal Relation in the Interlingual Lexicon,10.1007/3-540-49478-2_41,1998,http://link.springer.com/chapter/10.1007/3-540-49478-2_41,Chapter,Springer
NICT’s Machine Translation Systems for CCMT-2019 Translation Task,10.1007/978-981-15-1721-1_8,2019,http://link.springer.com/chapter/10.1007/978-981-15-1721-1_8,Chapter,Springer
On the Automatic Learning of Bilingual Resources: Some Relevant Factors for Machine Translation,10.1007/978-3-540-88190-2_31,2008,http://link.springer.com/chapter/10.1007/978-3-540-88190-2_31,Chapter,Springer
Analysis of Back-Translation Methods for Low-Resource Neural Machine Translation,10.1007/978-3-030-32236-6_42,2019,http://link.springer.com/chapter/10.1007/978-3-030-32236-6_42,Chapter,Springer
Towards an Efficient Evolutionary Decoding Algorithm for Statistical Machine Translation,10.1007/978-3-540-24694-7_45,2004,http://link.springer.com/chapter/10.1007/978-3-540-24694-7_45,Chapter,Springer
Statistical Feature Aided Intelligent Deep Learning Machine Translation in Internet of Things,10.1007/978-3-030-67514-1_20,2021,http://link.springer.com/chapter/10.1007/978-3-030-67514-1_20,Chapter,Springer
Exploiting Knowledge Graph in Neural Machine Translation,10.1007/978-981-13-3083-4_3,2019,http://link.springer.com/chapter/10.1007/978-981-13-3083-4_3,Chapter,Springer
Phrase-Based Alignment Models for Statistical Machine Translation,10.1007/11492542_74,2005,http://link.springer.com/chapter/10.1007/11492542_74,Chapter,Springer
Learning Bilingual Sentence Representations for Quality Estimation of Machine Translation,10.1007/978-981-10-3635-4_4,2016,http://link.springer.com/chapter/10.1007/978-981-10-3635-4_4,Chapter,Springer
Dictionaries for English-Vietnamese Machine Translation,10.1007/11940098_37,2006,http://link.springer.com/chapter/10.1007/11940098_37,Chapter,Springer
Special issue on Machine Translation for Arabic: Preface,10.1007/s10590-011-9118-5,2012,http://link.springer.com/article/10.1007/s10590-011-9118-5,Article,Springer
Neural Machine Translation with Soft Reordering Knowledge,10.1007/978-3-030-63820-7_79,2020,http://link.springer.com/chapter/10.1007/978-3-030-63820-7_79,Chapter,Springer
The Performance of a Machine Translation-Based English-Indonesian CLIR System,10.1007/11878773_16,2006,http://link.springer.com/chapter/10.1007/11878773_16,Chapter,Springer
Introduction: Special Issue on Anaphora Resolution in Machine Translation and Multilingual NLP,10.1023/A:1011132522992,1999,http://link.springer.com/article/10.1023/A%3A1011132522992,Article,Springer
Word-Level Error Correction in Non-autoregressive Neural Machine Translation,10.1007/978-3-030-63820-7_83,2020,http://link.springer.com/chapter/10.1007/978-3-030-63820-7_83,Chapter,Springer
Towards Building a Strong Transformer Neural Machine Translation System,10.1007/978-981-13-3083-4_10,2019,http://link.springer.com/chapter/10.1007/978-981-13-3083-4_10,Chapter,Springer
An Open and Extensible Platform  for Machine Translation of Spoken   Languages into Sign Languages,10.1007/978-3-319-90170-1_12,2018,http://link.springer.com/chapter/10.1007/978-3-319-90170-1_12,Chapter,Springer
Phrase-Based Statistical Machine Translation Using Approximate Matching,10.1007/978-3-540-72847-4_61,2007,http://link.springer.com/chapter/10.1007/978-3-540-72847-4_61,Chapter,Springer
Neural Machine Translation by Generating Multiple Linguistic Factors,10.1007/978-3-319-68456-7_2,2017,http://link.springer.com/chapter/10.1007/978-3-319-68456-7_2,Chapter,Springer
